"Constituency name, electorate, 2001 result",Turnout,Candidate (* = incumbent MP),Party,Votes,Percent share,* = lost deposit,Change 2001-05,
Banff and Buchan [25],56.6,"Salmond, A.*",SNP,19'044,51.2,,+,2.3
65'750, ,"Wallace, S.",Con,7'207,19.4,,-,2.2
, ,"Anderson, E. Ms.",LD,4'952,13.3,,-,0.5
, ,"Okasha, R.",Lab,4'476,12,,-,1.4
, ,"Ross, V.J.",OCV,683,1.8,*,, 
, ,"Kemp, K.R. Ms.",UKIP,442,1.2,*,,
, ,"Will, S.",SSP,412,1.1,*,-,0.3
, , , ,-----,---,, , 
,, , ,11'837,31.8,, , 
2001: SNP,, , , , , , , 
Barking [26],50.1,"Hodge, M.E. Ms.*",Lab,13'826,47.8,,-,13.1
57'658, ,"Prince, K.A.",Con,4'943,17.1,,-,5.9
, ,"Barnbrook, R.J.",BNP,4'916,17,,+,10.6
, ,"Wickenden, T.",LD,3'211,11.1,,+,1.4
, ,"Jones, T.J.",UKIP,803,2.8,*,,
, ,"Cleeland, L.N.",Grn,618,2.1,*,,
, ,"Panton, D.R.",Ind,530,1.8,*,, 
, ,"Saxby, M.A.",WRP,59,0.2,*,, 
, , , ,-----,---,, , 
,, , ,8'883,30.7,, , 
2001: Lab,, , , , , , , 
Barnsley Central [27],47.1,"Illsley, E.E.*",Lab,17'478,61.1,,-,8.6
60'768, ,"Crompton, M.",LD,4'746,16.6,,+,1.9
, ,"Morel, P.H.E.",Con,3'813,13.3,,+,0.2
, ,"Broadley, G.",BNP,1'403,4.9,*,,
, ,"Wood, D.",Ind,1'175,4.1,*,, 
, , , ,-----,---,, , 
,, , ,12'732,44.5,, , 
2001: Lab,, , , , , , , 
Barnsley East and Mexborough [28],49.3,"Ennis, J.*",Lab,20'779,62.9,,-,4.6
67'048, ,"Brook, S. Ms.",LD,6'654,20.1,,+,4.3
, ,"Abbott, C. Ms.",Con,4'853,14.7,,+,2.3
, ,"Robinson, T.",SL,740,2.2,*,,
, , , ,-----,---,, , 
,, , ,14'125,42.8,, , 
2001: Lab,, , , , , , , 
Barnsley West and Penistone [29],54.9,"Clapham, M.*",Lab,20'372,55.3,,-,3.3
67'123, ,"Watkinson, C.",Con,9'058,24.6,,+,1.7
, ,"Brelsford, A.E. Ms.",LD,7'422,20.1,,+,1.5
, , , ,-----,---,, , 
,, , ,11'314,30.7,, , 
2001: Lab,, , , , , , , 
Barrow and Furness [30],59,"Hutton, J.M.P.*",Lab,17'360,47.6,,-,8.1
61'883, ,"Dorman, W.H.W.",Con,11'323,31,,+,0.7
, ,"Rabone, B.M.",LD,6'130,16.8,,+,4.6
, ,"Beach, A.S.",UKIP,758,2.1,*,+,0.3
, ,"Bell, T.J.",BDMB,409,1.1,*,, 
, ,"Greaves, B.",Ver,306,0.8,*,, 
, ,"Young, H. Ms.",Ind,207,0.6,*,, 
, , , ,-----,---,, , 
,, , ,6'037,16.5,, , 
2001: Lab,, , , , , , , 
Basildon [31],58.8,"Smith, A.E. Ms.*",Lab,18'720,43.4,,-,9.3
73'397, ,"Powell, A.J.",Con,15'578,36.1,,+,2.3
, ,"Thompson, M.A.",LD,4'473,10.4,,+,1.3
, ,"Colgate, E.L. Ms.",BNP,2'055,4.8,*,,
, ,"Blythe, A.C.",UKIP,1'143,2.6,*,-,0.8
, ,"Copping, V.A. Ms.",Grn,662,1.5,*,,
, ,"Gandy, K.E. Ms.",ED,510,1.2,*,, 
, , , ,-----,---,, , 
,, , ,3'142,7.3,, , 
2001: Lab,, , , , , , , 
Basingstoke [32],63.9,"Miller, M.F.L. Ms.",Con,19'955,41.5,,-,1.2
75'265, ,"Harvey, P.D.",Lab,15'275,31.7,,-,9.1
, ,"Smith, J.H. Ms.",LD,9'952,20.7,,+,6.7
, ,"Effer, P.J.",UKIP,1'044,2.2,*,-,0.3
, ,"Shirley, D.",Grn,928,1.9,*,,
, ,"Robertson, R.C.",BNP,821,1.7,*,,
, ,"MacNair, R.",MC,148,0.3,*,, 
, , , ,-----,---,, , 
,, , ,4'680,9.7,, , 
2001: Con,, , , , , , , 
Bassetlaw [33],58.8,"Mann, J.*",Lab,22'847,56.6,,+,1.3
68'571, ,"Sheppard, J.N.",Con,12'010,29.8,,-,0.5
, ,"Dobbie, D.P.",LD,5'485,13.6,,+,0.9
, , , ,-----,---,, , 
,, , ,10'837,26.9,, , 
2001: Lab,, , , , , , , 
Bath [34],69,"Foster, D.M.E.*",LD,20'101,43.9,,-,6.6
66'414, ,"Dawson, S.E. Ms.",Con,15'463,33.7,,+,4.6
, ,"Ajderian, H.J. Ms.",Lab,6'773,14.8,,-,0.9
, ,"Lucas, E.P.",Grn,2'494,5.4,,+,2.3
, ,"Crowder, R.",UKIP,770,1.7,*,+,0.2
