"Constituency name, electorate, 2001 result",Turnout,Candidate (* = incumbent MP),Party,Votes,Percent share,* = lost deposit,Change 2001-05,
Huddersfield [317],56.6,"Sheerman, B.J.*",Lab,16'341,46.8,,-,6.5
61'723, ,"Bone, E.J. Ms.",LD,7'990,22.9,,+,7.9
, ,"Meacock, D.G.",Con,7'597,21.7,,-,3.1
, ,"Stewart-Turner, J. Ms.",Grn,1'651,4.7,*,+,1.2
, ,"Hanson, K.S.M.",BNP,1'036,3,*,,
, ,"Quarmby, T. Ms.",Ind,325,0.9,*,, 
, , , ,-----,---,, , 
,, , ,8'351,23.9,, , 
2001: Lab,, , , , , , , 
Hull East [318],47.6,"Prescott, J.L.*",Lab,17'609,56.6,,-,8
65'407, ,"Sloan, A.S.",LD,5'862,18.8,,+,3.9
, ,"Lindsay, K.A. Ms.",Con,4'138,13.3,,-,0.6
, ,"Siddle, A.",BNP,1'022,3.3,*,,
, ,"Toker, J.H. Ms.",Lib,1'018,3.3,*,, 
, ,"Morris, G.E.",Ver,750,2.4,*,, 
, ,"Noon, R.E.",Ind,334,1.1,*,, 
, ,"Muir, L. Ms.",SL,207,0.7,*,,
, ,"Wagner, C.A.",LCA,182,0.6,*,, 
, , , ,-----,---,, , 
,, , ,11'747,37.7,, , 
2001: Lab,, , , , , , , 
Hull North [319],47.3,"Johnson, D.R. Ms.",Lab,15'364,51.9,,-,5.2
62'590, ,"Healy, D.G.",LD,8'013,27.1,,+,7.4
, ,"Rivlin, Y.L. Ms.",Con,3'822,12.9,,-,4.2
, ,"Deane, M.J.",Grn,858,2.9,*,,
, ,"Wainwright, B.D.",BNP,766,2.6,*,,
, ,"Robinson, T.S. Ms.",Ver,389,1.3,*,, 
, ,"Veasey, C.M.",NP,193,0.7,*,, 
, ,"Wagner, C.A.",LCA,179,0.6,*,, 
, , , ,-----,---,, , 
,, , ,7'351,24.8,, , 
2001: Lab,, , , , , , , 
Hull West and Hessle [320],45.2,"Johnson, A.A.*",Lab,15'305,55,,-,3.4
61'494, ,"Nolan, D.P.",LD,5'855,21,,+,6
, ,"Woods, K.A. Ms.",Con,5'769,20.7,,+,0.2
, ,"Wallis, S.J.",Ver,889,3.2,*,, 
, , , ,-----,---,, , 
,, , ,9'450,34,, , 
2001: Lab,, , , , , , , 
Huntingdon [321],64.1,"Djanogly, J.S.*",Con,26'646,50.8,,+,0.9
81'808, ,"Huppert, J.L.",LD,13'799,26.3,,+,2.5
, ,"Sartain, S.M.",Lab,9'821,18.7,,-,4.1
, ,"Norman, D.A.",UKIP,2'152,4.1,*,+,0.7
, , , ,-----,---,, , 
,, , ,12'847,24.5,, , 
2001: Con,, , , , , , , 
Hyndburn [322],59.3,"Pope, G.J.*",Lab,18'136,46,,-,8.7
66'543, ,"Mawdsley, J.R.R.",Con,12'549,31.8,,-,1.3
, ,"Greene, W.L.",LD,5'577,14.1,,+,4.5
, ,"Jackson, C.M.",BNP,2'444,6.2,, ,
, ,"Whittaker, J.",UKIP,743,1.9,*,-,0.7
, , , ,-----,---,, , 
,, , ,5'587,14.2,, , 
2001: Lab,, , , , , , , 
Ilford North [323],60.8,"Scott, L.",Con,18'781,43.7,,+,3.1
70'721, ,"Perham, L. Ms.*",Lab,17'128,39.8,,-,6
, ,"Gayler, M.A.",LD,5'896,13.7,,+,2
, ,"Cross, A.G.",UKIP,902,2.1,*,+,0.2
, ,"Levin, M.",Ind,293,0.7,*,, 
, , , ,-----,---,, , 
,, , ,1'653,3.8,, , 
2001: Lab,, , , , , , , 
Ilford South [324],53.6,"Gapes, M.J.*",Lab,20'856,48.9,,-,10.8
79'646, ,"Metcalfe, S.J.",Con,11'628,27.2,,+,1.5
, ,"Lake, M.E.",LD,8'761,20.5,,+,9.3
, ,"Rana, K.",BPP,763,1.8,*,, 
, ,"Taylor, C.H.",UKIP,685,1.6,*,-,1.8
, , , ,-----,---,, , 
,, , ,9'228,21.6,, , 
2001: Lab,, , , , , , , 
Inverclyde [325],60.9,"Cairns, D.*",Lab,18'318,50.7,,+,0.5
59'291, ,"McMillan, S.",SNP,7'059,19.6,,+,5.5
, ,"Herbison, D.",LD,6'123,17,,-,4.2
, ,"Fraser, G.J.",Con,3'692,10.2,,-,0.6
, ,"Landels, D.W.",SSP,906,2.5,*,-,1.3
, , , ,-----,---,, , 
,, , ,11'259,31.2,, , 
2001: Lab,, , , , , , , 
"Inverness Nairn Badenoch and Strathspey   [326]",63.8,"Alexander, D.G.",LD,17'830,40.3,,+,10.8
69'395, ,"Stewart, D.J.*",Lab,13'682,30.9,,-,1.3
, ,"Thompson, D.G.",SNP,5'992,13.5,,-,9.4
, ,"Rowantree, R.I.",Con,4'579,10.3,,-,1.9
, ,"MacLeod, D.",Grn,1'065,2.4,*,,
, ,"Lawson, D.S.",PubP,678,1.5,*,, 
, ,"MacDonald, G.",SSP,429,1,*,-,1.1
, , , ,-----,---,, , 
,, , ,4'148,9.4,, , 
2001: Lab,, , , , , , , 
Ipswich [327],61.2,"Mole, C.D.*",Lab,18'336,43.8,,-,7.5
68'409, ,"West, P.M.",Con,13'004,31.1,,+,0.5
, ,"Atkins, R.S.",LD,8'464,20.2,,+,5
, ,"West, A.J. Ms.",UKIP,1'134,2.7,*,+,1.1
, ,"Kay, R.J.",ED,641,1.5,*,, 
, ,"Wainman, S. Ms.",Ind,299,0.7,*,, 
, , , ,-----,---,, , 
,, , ,5'332,12.7,, , 
2001: Lab,, , , , , , , 
Isle of Wight [328],62,"Turner, A.J.*",Con,32'717,48.9,,+,9.2
107'737, ,"Rowlands, A.F.",LD,19'739,29.5,,-,5.8
, ,"Chiverton, M.H.",Lab,11'484,17.2,,+,1.9
, ,"Tarrant, M.N.A.",UKIP,2'352,3.5,*,+,0.2
, ,"Corby, E.D.P.",Ind,551,0.8,*,, 
, , , ,-----,---,, , 
,, , ,12'978,19.4,, , 
2001: Con,, , , , , , , 
Islington North [329],53.9,"Corbyn, J.B.*",Lab,16'118,51.2,,-,10.7
58'428, ,"Willoughby, L. Ms.",LD,9'402,29.9,,+,10.9
, ,"Talbot, N.E. Ms.",Con,3'740,11.9,,+,1.1
, ,"Nott, J.R.",Grn,2'234,7.1,,+,0.9
, , , ,-----,---,, , 
,, , ,6'716,21.3,, , 
2001: Lab,, , , , , , , 
Islington South and Finsbury [330],53.6,"Thornberry, E. Ms.",Lab,12'345,39.9,,-,14.1
57'748, ,"Fox, B.C. Ms.",LD,11'861,38.3,,+,10.2
, ,"McLean, M.L. Ms.",Con,4'594,14.8,,+,1.2
, ,"Humphreys, J.W.",Grn,1'471,4.8,*,,
, ,"Theophanides, P.T. Ms.",UKIP,470,1.5,*,,
, ,"Gardner, A.J.E.",MRLP,189,0.6,*,, 
, ,"Gidden, C.",Ind,31,0.1,*,, 
, , , ,-----,---,, , 
,, , ,484,1.6,, , 
2001: Lab,, , , , , , , 
Islwyn [331],61.6,"Touhig, J.D.*",Lab,19'687,63.8,,+,2.2
50'095, ,"Criddle, J.B.",PC,3'947,12.8,,+,0.9
, ,"Dillon, L.R.J.",LD,3'873,12.5,,-,0.7
, ,"Howells, P.B.",Con,3'358,10.9,,+,2.9
, , , ,-----,---,, , 
,, , ,15'740,51,, , 
2001: Lab,, , , , , , , 
Jarrow [332],55,"Hepburn, S.*",Lab,20'554,60.5,,-,5.6
61'736, ,"Schardt, C.W.",LD,6'650,19.6,,+,4.5
, ,"Jack, L.A.S.",Con,4'807,14.1,,-,0.5
, ,"Badger, A.",UKIP,1'567,4.6,*,+,2.5
, ,"Nettleship, R.",SNHS,400,1.2,*,, 
, , , ,-----,---,, , 
,, , ,13'904,40.9,, , 
2001: Lab,, , , , , , , 
Keighley [333],69.1,"Cryer, C.A. Ms.*",Lab,20'720,44.7,,-,3.5
66'986, ,"Poulsen, K.",Con,15'868,34.3,,-,4.7
, ,"Fekri, N.",LD,5'484,11.8,,+,0.9
, ,"Griffin, N.J.",BNP,4'240,9.2,, ,
, , , ,-----,---,, , 
,, , ,4'852,10.5,, , 
2001: Lab,, , , , , , , 
Kensington and Chelsea [334],50,"Rifkind, M.L.",Con,18'144,57.9,,+,3.4
62'676, ,"Kingsley, J. Ms.",LD,5'726,18.3,,+,2.5
, ,"Atkinson, C.H. Ms.",Lab,5'521,17.6,,-,5.6
, ,"Stephenson, J.C. Ms.",Grn,1'342,4.3,*,+,0.2
, ,"Eiloart, M.J. Ms.",UKIP,395,1.3,*,-,0.2
, ,"Bovill, A.J.S.",Ind,107,0.3,*,, 
, ,"Adams, E.S.",AGS,101,0.3,*,, 
, , , ,-----,---,, , 
,, , ,12'418,39.6,, , 
2001: Con,, , , , , , , 
Kettering [335],69.4,"Hollobone, P.T.",Con,25'401,45.6,,+,2.2
80'232, ,"Sawford, P.*",Lab,22'100,39.7,,-,5
, ,"Aron, R.J.",LD,6'882,12.4,,+,2.2
, ,"Clarke, R.J. Ms.",UKIP,1'263,2.3,*,+,0.6
, , , ,-----,---,, , 
,, , ,3'301,5.9,, , 
2001: Lab,, , , , , , , 
Kilmarnock and Loudoun [336],62.2,"Browne, D.H.*",Lab,20'976,47.3,,-,7.7
71'400, ,"Coffey, D.",SNP,12'273,27.7,,+,3.2
, ,"Smith, G.",Con,5'026,11.3,,+,1.3
, ,"Lang, K.R.",LD,4'945,11.1,,+,3.5
, ,"Kerr, H.",SSP,833,1.9,*,-,0.9
, ,"Robertson, R.",UKIP,330,0.7,*,,
, , , ,-----,---,, , 
,, , ,8'703,19.6,, , 
2001: Lab,, , , , , , , 
Kingston and Surbiton [337],68.5,"Davey, E.J.*",LD,25'397,51,,-,9.1
72'658, ,"Davis, K.J.",Con,16'431,33,,+,4.8
, ,"Parrott, N.J.",Lab,6'553,13.2,,+,4.4
, ,"Thornton, B.",UKIP,657,1.3,*,+,0.4
, ,"Hayball, J.D.",SL,366,0.7,*,,
, ,"Henson, D.C.",Ver,200,0.4,*,, 
, ,"Weiss, R.G.",Vote,146,0.3,*,, 
, , , ,-----,---,, , 
,, , ,8'966,18,, , 
2001: LD,, , , , , , , 
Kingswood [338],67.4,"Berry, R.L.*",Lab,26'491,47,,-,7.8
83'584, ,"Inskip, O.H.",Con,18'618,33.1,,+,4.7
, ,"Brewer, G.C.",LD,9'089,16.1,,+,1.4
, ,"Knight, J.W.",UKIP,1'444,2.6,*,+,0.5
, ,"Burnside, D.G.",Ind,669,1.2,*,, 
, , , ,-----,---,, , 
,, , ,7'873,14,, , 
2001: Lab,, , , , , , , 
Kirkcaldy and Cowdenbeath [339],58.4,"Brown, G.*",Lab,24'278,58.1,,-,0.4
71'603, ,"Bath, A.T.",SNP,6'062,14.5,,-,4.1
, ,"Cole-Hamilton, A.G.",LD,5'450,13,,+,3.9
, ,"Randall, S.R.",Con,4'308,10.3,,-,0.3
, ,"West, S.C.",SSP,666,1.6,*,-,1.1
, ,"Adams, P.",UKIP,516,1.2,*,,
, ,"Parker, J.",SSCP,425,1,*,, 
, ,"Kwantes, E.S. Ms.",Ind,47,0.1,*,, 
, ,"Sargent, P. Ms.",Ind,44,0.1,*,, 
, , , ,-----,---,, , 
,, , ,18'216,43.6,, , 
2001: Lab,, , , , , , , 
Knowsley North and Sefton East [340],52.6,"Howarth, G.E.*",Lab,23'461,63.3,,-,3.4
70'407,,"Clucas, H.F. Ms.",LD,7'192,19.4,,+,5.6
, ,"Purewal, N.W.K.",Con,5'064,13.7,,-,2.6
, ,"McDermott, M.",BNP,872,2.4,*,,
, ,"Whatham, S.B.",SL,464,1.3,*,,
, , , ,-----,---,, , 
, , , ,16'269,43.9,, , 
2001: Lab,, , , , , , , 
Knowsley South [341],51.5,"O'Hara, E.*",Lab,24'820,68.1,,-,3.1
70'726, ,"Smithson, D.J.G.",LD,7'132,19.6,,+,6.6
, ,"Leadsom, A. Ms.",Con,4'492,12.3,,+,0.7
, , , ,-----,---,, , 
,, , ,17'688,48.5,, , 
2001: Lab,, , , , , , , 
Lagan Valley [342],60.6,"Donaldson, J.M.*",DUP,23'289,54.7,,+,41.3
70'238, ,"McCrea, B.",UU,9'172,21.5,,-,35
, ,"Close, S.A.",APNI,4'316,10.1,,-,6.5
, ,"Butler, P.",SF,3'197,7.5,,+,1.6
, ,"Lewsley, P. Ms.",SDLP,2'598,6.1,,-,1.4
, , , ,-----,---,, , 
,, , ,14'117,33.2,, , 
2001: UU,, , , , , , , 
Lanark and Hamilton East [343],59,"Hood, J.*",Lab,20'072,46,,-,4.5
73'824, ,"Grieve, F.J.",LD,8'125,18.6,,+,7.3
, ,"Wilson, J.G.",SNP,7'746,17.8,,-,4.2
, ,"Pettigrew, N.R.",Con,5'576,12.8,,+,0.3
, ,"Reilly, D.",SSP,802,1.8,*,-,1.3
, ,"MacKay, D.M.",UKIP,437,1,*,,
, ,"McFarlane, D.",Ind,416,1,*,, 
, ,"Mawhinney, R.",OCV,415,1,*,, 
, , , ,-----,---,, , 
,, , ,11'947,27.4,, , 
2001: Lab,, , , , , , , 
Lancashire West [344],58.1,"Cooper, R.E. Ms.",Lab,20'746,48.1,,-,6.4
74'298, ,"Doran, A.",Con,14'662,34,,+,2
, ,"Kemp, R.",LD,6'059,14,,+,2.5
, ,"Freeman, A.",UKIP,871,2,*,,
, ,"Garrett, S.P.",ED,525,1.2,*,, 
, ,"Braid, D.O.",C28,292,0.7,*,, 
, , , ,-----,---,, , 
,, , ,6'084,14.1,, , 
2001: Lab,, , , , , , , 
Lancaster and Wyre [345],64.5,"Wallace, R.B.L.",Con,22'266,42.8,,+,0.6
80'739, ,"Sacks, A. Ms.",Lab,18'095,34.8,,-,8.3
, ,"Langhorn, S.",LD,8'453,16.2,,+,6
, ,"Barry, J.",Grn,2'278,4.4,*,+,1.3
, ,"Mander, J.M.",UKIP,969,1.9,*,+,0.4
, , , ,-----,---,, , 
,, , ,4'171,8,, , 
2001: Lab,, , , , , , , 
Leeds Central [346],45.8,"Benn, H.J.*",Lab,17'526,60,,-,6.9
63'739, ,"Coleman, C.R. Ms.",LD,5'660,19.4,,+,6.2
,,"Cattell, B.A.",Con,3'865,13.2,,-,1
, ,"Collett, M.A.",BNP,1'201,4.1,*,,
, ,"Sewards, P.",UKIP,494,1.7,*,-,1.1
, ,"Dear, M.",Ind,189,0.6,*,, 
, ,"Taiwo, O.",Ind,126,0.4,*,, 
, ,"Fitzgerald, J.",Glasnost,125,0.4,*,, 
, , , ,-----,---,, , 
, , , ,11'866,40.7,, , 
2001: Lab,, , , , , , , 
Leeds East [347],55.8,"Mudie, G.*",Lab,17'799,59.2,,-,3.8
53'893, ,"Tear, A.P.",LD,6'221,20.7,,+,7.2
, ,"Ponniah, D.D.A.",Con,5'557,18.5,,-,1
, ,"Socrates, P.L.B.",Ind,500,1.7,*,, 
, , , ,-----,---,, , 
,, , ,11'578,38.5,, , 
2001: Lab,, , , , , , , 
Leeds North East [348],65.5,"Hamilton, F.*",Lab,18'632,44.9,,-,4.2
63'314, ,"Lobley, M.R.D.",Con,13'370,32.2,,+,0.9
, ,"Brown, J.M.",LD,8'427,20.3,,+,4.4
, ,"Foote, C.E. Ms.",AGS,1'038,2.5,*,, 
, , , ,-----,---,, , 
,, , ,5'262,12.7,, , 
2001: Lab,, , , , , , , 
Leeds North West [349],62.4,"Mulholland, G.T.",LD,16'612,37.2,,+,10.2
71'650, ,"Blake, J. Ms.",Lab,14'735,33,,-,9
, ,"Lee, G.A.",Con,11'510,25.7,,-,3.8
, ,"Hemingway, M.F.",Grn,1'128,2.5,*,,
, ,"Knowles, A.D.",ED,545,1.2,*,, 
, ,"Sutton, J. Ms.",AGS,181,0.4,*,, 
, , , ,-----,---,, , 
,, , ,1'877,4.2,, , 
2001: Lab,, , , , , , , 
Leeds West [350],53.6,"Battle, J.D.*",Lab,18'704,55.5,,-,6.7
62'888, ,"Finlay, D.",LD,5'894,17.5,,+,7
, ,"Metcalfe, T.A.",Con,4'807,14.3,,-,1.3
, ,"Blackburn , D.",Grn,2'519,7.5,,-,0.5
, ,"Day, A.J. Ms.",BNP,1'166,3.5,*,,
, ,"Sewards, D.",UKIP,628,1.9,*,-,0.5
, , , ,-----,---,, , 
,, , ,12'810,38,, , 
2001: Lab,, , , , , , , 
Leicester East [351],62.8,"Vaz, K.*",Lab,24'015,58.1,,+,0.6
65'750, ,"Fernandes, S-E.C. Ms.",Con,8'139,19.7,,-,4.8
, ,"Cooper, S. Ms.",LD,7'052,17.1,,+,4.8
, ,"Brown, C.W.",Ver,1'666,4,*,, 
, ,"Smalley, V. Ms.",SL,434,1.1,*,,
, , , ,-----,---,, , 
,, , ,15'876,38.4,, , 
2001: Lab,, , , , , , , 
Leicester South [352],59.1,"Soulsby, P.A.",Lab,16'688,39.3,,-,15.1
71'710, ,"Gill, P.S.*",LD,12'971,30.6,,+,13.4
, ,"McElwee, M.J.",Con,7'549,17.8,,-,5.3
, ,"Ridley, Y.A. Ms.",Resp,2'720,6.4,, ,
, ,"Follett, M.A.",Grn,1'379,3.3,*,+,0.4
, ,"Roseblade, K.G.",Ver,573,1.4,*,, 
, ,"Roberts, D.P.",SL,315,0.7,*,,
, ,"Lord, P.A.",Ind,216,0.5,*,, 
, , , ,-----,---,, , 
,, , ,3'717,8.8,, , 
2001: Lab,, , , , , , , 
Leicester West [353],53.7,"Hewitt, P.H. Ms.*",Lab,17'184,51.7,,-,2.5
61'851, ,"Richardson, S.L. Ms.",Con,8'114,24.4,,-,0.8
, ,"Haq, Z.I.",LD,5'803,17.5,,+,2.2
, ,"Forse, G.J.",Grn,1'571,4.7,*,+,1.5
, ,"Score, S.D.",S Alt,552,1.7,*,, 
, , , ,-----,---,, , 
,, , ,9'070,27.3,, , 
2001: Lab,, , , , , , , 
Leicestershire North West [354],66.8,"Taylor, D.L.*",Lab,21'449,45.5,,-,6.6
70'519, ,"Le Page, N.L. Ms.",Con,16'972,36,,+,2.1
, ,"Keys, R.A.",LD,5'682,12.1,,+,1.7
, ,"Blunt , J.",UKIP,1'563,3.3,*,+,1
, ,"Potter, C.",BNP,1'474,3.1,*,,
, , , ,-----,---,, , 
,, , ,4'477,9.5,, , 
2001: Lab,, , , , , , , 
Leigh [355],50.3,"Burnham, A.M.*",Lab,23'097,63.3,,-,1.2
72'473, ,"Wedderburn, L.",Con,5'825,16,,-,2.2
, ,"Crowther, D.",LD,4'962,13.6,,+,0.8
, ,"Franzen, I.A.",CAP,2'189,6,, , 
, ,"Hampson, T.",LCA,415,1.1,*,, 
, , , ,-----,---,, , 
,, , ,17'272,47.3,, , 
2001: Lab,, , , , , , , 
Leominster [356],67.7,"Wiggin, W.D.*",Con,25'407,52.1,,+,3.1
72'081, ,"Williams, C.J. Ms.",LD,12'220,25,,-,1.7
, ,"Bell, P.K.",Lab,7'424,15.2,,-,1.6
, ,"Norman, F.M. Ms.",Grn,2'191,4.5,*,+,0.9
, ,"Whyte-Venables, P.S.",UKIP,1'551,3.2,*,-,0.2
, , , ,-----,---,, , 
,, , ,13'187,27,, , 
2001: Con,, , , , , , , 
Lewes [357],69.4,"Baker, N.J.*",LD,24'376,52.4,,-,4
67'073, ,"Love, R.C.",Con,15'902,34.2,,-,0.8
, ,"Black, R.",Lab,4'169,9,,+,1.7
, ,"Murray, S.J. Ms.",Grn,1'071,2.3,*,,
, ,"Petley, J.S.",UKIP,1'034,2.2,*,+,0.8
, , , ,-----,---,, , 
,, , ,8'474,18.2,, , 
2001: LD,, , , , , , , 
Lewisham Deptford [358],52.1,"Ruddock, J. Ms.*",Lab,16'902,55.6,,-,9.4
58'390, ,"Blango, C.",LD,5'091,16.8,,+,5
, ,"Cartlidge, J.R.",Con,3'773,12.4,,-,0
, ,"Johnson, D.P.",Grn,3'367,11.1,,+,4.5
, ,"Page, I.G.",S Alt,742,2.4,*,, 
, ,"Holland, D.R.",UKIP,518,1.7,*,,
, , , ,-----,---,, , 
,, , ,11'811,38.9,, , 
2001: Lab,, , , , , , , 
Lewisham East [359],56.3,"Prentice, B.T. Ms.*",Lab,14'263,45.8,,-,7.9
55'269, ,"Cleverly, J.S.",Con,7'512,24.1,,+,0.3
, ,"Thomas, R.",LD,6'787,21.8,,+,5.4
, ,"Baker, A.L. Ms.",Grn,1'243,4,*,,
, ,"Tarling, A.E.",UKIP,697,2.2,*,+,1
, ,"Franklin, B.F.",NF,625,2,*,, 
, , , ,-----,---,, , 
,, , ,6'751,21.7,, , 
2001: Lab,, , , , , , , 
Lewisham West [360],55.1,"Dowd, J.P.*",Lab,16'611,52,,-,9
57'967, ,"Feakes, A.D.",LD,6'679,20.9,,+,7.5
, ,"McAnuff, E. Ms.",Con,6'396,20,,-,2.3
, ,"Long, N.R.",Grn,1'464,4.6,*,,
, ,"Winton, J.G.",UKIP,773,2.4,*,+,0.8
, , , ,-----,---,, , 
,, , ,9'932,31.1,, , 
2001: Lab,, , , , , , , 
Leyton and Wanstead [361],55,"Cohen, H.M.*",Lab,15'234,45.8,,-,12.2
60'444, ,"Khan, M.",LD,8'377,25.2,,+,9.2
, ,"Foster, J.A.S.",Con,7'393,22.2,,+,2.5
, ,"Gunstock, A.",Grn,1'522,4.6,*,+,1.5
, ,"Jones, N.W.",UKIP,591,1.8,*,+,0.7
, ,"Robertson, M.T.",Ind,155,0.5,*,, 
, , , ,-----,---,, , 
,, , ,6'857,20.6,, , 
2001: Lab,, , , , , , , 
Lichfield [362],66.7,"Fabricant, M.L.D.*",Con,21'274,48.6,,-,0.5
65'565, ,"Gardner, N.R.",Lab,14'194,32.4,,-,6.1
, ,"Jackson, I.A.",LD,6'804,15.6,,+,4.8
, ,"McKenzie, M.K.",UKIP,1'472,3.4,*,+,1.7
, , , ,-----,---,, , 
,, , ,7'080,16.2,, , 
2001: Con,, , , , , , , 
Lincoln [363],56.5,"Merron, G. Ms.*",Lab,16'724,45.4,,-,8.5
65'180, ,"McCartney, K.",Con,12'110,32.9,,+,1.7
, ,"Gabriel, L. Ms.",LD,6'715,18.2,,+,5.6
, ,"Smith, N.",UKIP,1'308,3.5,*,+,1.3
, , , ,-----,---,, , 
,, , ,4'614,12.5,, , 
2001: Lab,, , , , , , , 
Linlithgow and East Falkirk [364],60.5,"Connarty, M.*",Lab,22'121,47.7,,-,4.1
76'718, ,"Guthrie, G.",SNP,10'919,23.5,,-,1.8
, ,"Glenn, S.P.",LD,7'100,15.3,,+,5.2
, ,"Veitch, M.G.",Con,5'486,11.8,,+,2
, ,"Hendry, A.B.",SSP,763,1.6,*,-,0.4
, , , ,-----,---,, , 
,, , ,11'202,24.1,, , 
2001: Lab,, , , , , , , 
Liverpool Garston [365],54.9,"Eagle, M. Ms.*",Lab,18'900,54,,-,7.3
63'671, ,"Keaveney, P.C. Ms.",LD,11'707,33.5,,+,10.4
, ,"Rudd, A.A. Ms.",Con,3'424,9.8,,-,5.7
, ,"Kearney, K.B.",UKIP,780,2.2,*,,
, ,"Oatley, D.C.",WRP,163,0.5,*,, 
, , , ,-----,---,, , 
,, , ,7'193,20.6,, , 
2001: Lab,, , , , , , , 
Liverpool Riverside [366],41.5,"Ellman, L.J. Ms.*",Lab,17'951,57.6,,-,13.8
75'148, ,"Marbrow, R.D.",LD,7'737,24.8,,+,8.1
, ,"Howatson, G.J.F. Ms.",Con,2'843,9.1,,+,0.7
, ,"Cranie, P.A.E.",Grn,1'707,5.5,, ,
, ,"Marshall, B.R. Ms.",SL,498,1.6,*,,
, ,"Irving, A.R.F. Ms.",UKIP,455,1.5,*,,
, , , ,-----,---,, , 
,, , ,10'214,32.7,, , 
2001: Lab,, , , , , , , 
Liverpool Walton [367],45,"Kilfoyle, P.*",Lab,20'322,72.8,,-,5
62'042, ,"Reid, K.J.C.",LD,4'365,15.6,,+,1.1
, ,"Buckle, S.I. Ms.",Con,1'655,5.9,,-,0.1
, ,"Moran, J.",UKIP,1'108,4,*,+,2.4
, ,"Wood, D.J.",Lib,480,1.7,*,, 
, , , ,-----,---,, , 
,, , ,15'957,57.1,, , 
2001: Lab,, , , , , , , 
Liverpool Wavertree [368],50.8,"Kennedy, J.E. Ms.*",Lab,18'441,52.4,,-,10.3
69'185, ,"Eldridge, C.W.",LD,13'268,37.7,,+,13.3
, ,"Steen, J.W.",Con,2'331,6.6,,-,3
, ,"Bill, M.E.",UKIP,660,1.9,*,+,0.8
, ,"Theys, G.",SL,244,0.7,*,,
, ,"Filby, P.",DSA,227,0.6,*,, 
, , , ,-----,---,, , 
,, , ,5'173,14.7,, , 
2001: Lab,, , , , , , , 
Liverpool West Derby [369],47.2,"Wareing, R.N.*",Lab,19'140,62.8,,-,3.4
64'585, ,"Maloney, P.",LD,3'915,12.9,,+,2
, ,"Radford, S.R.",Lib,3'606,11.8,, , 
, ,"Garrett, P.A.",Con,2'567,8.4,,+,0.4
, ,"Andersen, K.",SL,698,2.3,*,,
, ,"Baden, P.",UKIP,538,1.8,*,,
, , , ,-----,---,, , 
,, , ,15'225,50,, , 
2001: Lab,, , , , , , , 
Livingston [370],58.5,"Cook, R.*",Lab,22'657,51.1,,-,4.1
75'798, ,"Constance, A. Ms.",SNP,9'560,21.6,,-,1.8
, ,"Dundas, C.C.",LD,6'832,15.4,,+,5.5
, ,"Ross, A. Ms.",Con,4'499,10.1,,+,2.5
, ,"Nimmo, S.G.",SSP,789,1.8,*,-,1.2
, , , ,-----,---,, , 
,, , ,13'097,29.5,, , 
2001: Lab,, , , , , , , 
Llanelli [371],63.9,"Griffith, N.R. Ms.",Lab,16'592,46.9,,-,1.6
55'280, ,"Baker, N.W.",PC,9'358,26.5,,-,4.4
, ,"Phillips, A.",Con,4'844,13.7,,+,4.2
, ,"Rees, K.D.",LD,4'550,12.9,,+,4.4
, , , ,-----,---,, , 
,, , ,7'234,20.5,, , 
2001: Lab,, , , , , , , 
Londonderry East [372],60.7,"Campbell, G.L.*",DUP,15'225,42.9,,+,10.7
58'461, ,"McClarty, D.",UU,7'498,21.1,,-,6.3
, ,"Dallat, J.J.",SDLP,6'077,17.1,,-,3.7
, ,"Leonard, B.",SF,5'709,16.1,,+,0.5
, ,"Boyle, Y. Ms.",APNI,924,2.6,*,-,1.5
, ,"Samuel, M.H.",Ind,71,0.2,*,, 
, , , ,-----,---,, , 
,, , ,7'727,21.8,, , 
2001: DUP,, , , , , , , 
Loughborough [373],64.3,"Reed, A.J.*",Lab,19'098,41.4,,-,8.4
71'788, ,"Morgan, N.A. Ms.",Con,17'102,37.1,,+,1.7
, ,"Smith, G.D.",LD,8'258,17.9,,+,5.1
, ,"Sherratt, B.",UKIP,1'094,2.4,*,+,0.3
, ,"McVay, J.S.",Ver,588,1.3,*,, 
, , , ,-----,---,, , 
,, , ,1'996,4.3,, , 
2001: Lab,, , , , , , , 
Louth and Horncastle [374],62.4,"Tapsell, P.H.B.*",Con,21'744,46.6,,-,1.9
74'786, ,"Hodgkiss, F.D.",Lab,11'848,25.4,,-,6.1
, ,"Martin, F.M. Ms.",LD,9'480,20.3,,+,0.2
, ,"Pain, C.",UKIP,3'611,7.7,, ,
, , , ,-----,---,, , 
,, , ,9'896,21.2,, , 
2001: Con,, , , , , , , 
Ludlow [375],72,"Dunne, P.M.",Con,20'979,45.1,,+,5.7
64'644, ,"Green, M.R.*",LD,18'952,40.7,,-,2.5
, ,"Knowles, N.",Lab,4'974,10.7,,-,2.7
, ,"Gaffney, J.E.",Grn,852,1.8,*,-,0.2
, ,"Zuckerman, M.A.",UKIP,783,1.7,*,-,0.3
, , , ,-----,---,, , 
,, , ,2'027,4.4,, , 
2001: LD,, , , , , , , 
Luton North [376],57.3,"Hopkins, K.P.*",Lab,19'062,48.7,,-,8
68'218, ,"Hall, H.S. Ms.",Con,12'575,32.1,,+,0.9
, ,"Jack, L.A. Ms.",LD,6'081,15.5,,+,5.8
, ,"Brown, C.D.",UKIP,1'255,3.2,*,+,0.8
