UK General Election Results 1997,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%Share,Electorate,Majority,Turnout,Status,Declaration
Aylesbury,,David Lidington,Conservative,25426,44.18%,79047,8419,72.81%,Conservative Hold,02/05/97 05:43
,,Sharon Bowles,Liberal Democrat,17007,29.55%,,,,,
,,Robert Langridge,Labour,12759,22.17%,,,,,
,,Marc John,Referendum,2196,3.82%,,,,,
,,Lawrence Sheaff,Natural Law,166,0.29%,,,,,
,,,,,,,,,,
Ayr,,Sandra Osborne,Labour,21679,48.44%,55829,6543,80.17%,Labour Gain,02/05/97 01:41
,,Phil Gallie,Conservative,15136,33.82%,,,,,
,,Ian Blackford,Scottish National,5625,12.57%,,,,,
,,Clare Hamblen,Liberal Democrat,2116,4.73%,,,,,
,,John Enos,Referendum,200,0.45%,,,,,
,,,,,,,,,,
Banbury,,Anthony Baldry,Conservative,25076,42.90%,77456,4737,75.46%,Conservative Hold,02/05/97 04:25
,,Hazel Peperell,Labour,20339,34.80%,,,,,
,,Catherine Bearder,Liberal Democrat,9761,16.70%,,,,,
,,James Ager,Referendum,2245,3.84%,,,,,
,,Bevis Cotton,Green,530,0.91%,,,,,
,,L King,United Kingdom Independence,364,0.62%,,,,,
,,Ian Pearson,Natural Law,131,0.22%,,,,,
,,,,,,,,,,
Banff and Buchan,,Alex Salmond,Scottish National,22409,55.77%,58493,12845,68.69%,Scottish National Hold,02/05/97 02:55
,,William Frai Bell,Conservative,9564,23.80%,,,,,
,,Megan Harris,Labour,4747,11.81%,,,,,
,,Neil Fletcher,Liberal Democrat,2398,5.97%,,,,,
,,Alan Buchan,Referendum,1060,2.64%,,,,,
,,,,,,,,,,
Barking,,Margaret Hodge,Labour,21698,65.82%,53682,15896,61.41%,Labour Hold,02/05/97 01:57
,,Keith Langford,Conservative,5802,17.60%,,,,,
,,Mark Marsh,Liberal Democrat,3128,9.49%,,,,,
,,Colin Taylor,Referendum,1283,3.89%,,,,,
,,Mark Toleman,British National,894,2.71%,,,,,
,,Damien Mearns,People's Labour,159,0.48%,,,,,
,,,,,,,,,,
Barnsley Central,,Eric Illsley,Labour,28090,76.99%,61133,24501,59.68%,Labour Hold,02/05/97 00:15
,,Simon Gutteridge,Conservative,3589,9.84%,,,,,
,,Darren Finlay,Liberal Democrat,3481,9.54%,,,,,
,,James Walsh,Referendum,1325,3.63%,,,,,
,,,,,,,,,,
Barnsley East and Mexborough,,Jeff Ennis,Labour,31699,73.15%,67840,26763,63.88%,Labour Hold,02/05/97 00:44
,,Jane Ellison,Conservative,4936,11.39%,,,,,
,,David Willis,Liberal Democrat,4489,10.36%,,,,,
,,Ken Capstick,Socialist Labour,1213,2.80%,,,,,
,,Arthur Miles,Referendum,797,1.84%,,,,,
,,Julie Hyland,Independent,201,0.46%,,,,,
,,,,,,,,,,
Barnsley West and Penistone,,Michael Clapham,Labour,25017,59.27%,64894,17267,65.04%,Labour Gain,02/05/97 00:35
,,Paul Watkins,Conservative,7750,18.36%,,,,,
,,Winifred Knight,Liberal Democrat,7613,18.04%,,,,,
,,Joyce Miles,Referendum,1828,4.33%,,,,,
,,,,,,,,,,
Barrow and Furness,,John Hutton,Labour,27630,57.29%,66960,14497,72.03%,Labour Hold,02/05/97 05:33
,,Richard Hunt,Conservative,13133,27.23%,,,,,
,,Anne Metcalfe,Liberal Democrat,4264,8.84%,,,,,
,,Jim Hamezeian,Independent,1995,4.14%,,,,,
,,David Mitchell,Referendum,1208,2.50%,,,,,
,,,,,,,,,,
Basildon,,Angela Smith,Labour Co-op,29646,55.85%,73989,13280,71.74%,Labour/Co-operative Gain,02/05/97 00:47
,,John Baron,Conservative,16366,30.83%,,,,,
,,Lindsay Granshaw,Liberal Democrat,4608,8.68%,,,,,
,,Craig Robinson,Referendum,2462,4.64%,,,,,
,,,,,,,,,,
Basingstoke,,Andrew Hunter,Conservative,24751,43.32%,77035,2397,74.16%,Conservative Hold,02/05/97 03:22
,,Nigel Lickley,Labour,22354,39.13%,,,,,
,,Martin Rimmer,Liberal Democrat,9714,17.00%,,,,,
,,Elsayed Selim,Independent,310,0.54%,,,,,
,,,,,,,,,,
Bassetlaw,,Joe Ashton,Labour,29298,61.04%,68101,17348,70.49%,Labour Hold,02/05/97 01:05
,,Martin Cleasby,Conservative,11950,24.90%,,,,,
,,Mike Kerrigan,Liberal Democrat,4915,10.24%,,,,,
,,Roy Graham,Referendum,1838,3.83%,,,,,
,,,,,,,,,,
Bath,,Don Foster,Liberal Democrat,26169,48.47%,70815,9319,76.24%,Liberal Democrat Hold,02/05/97 01:55
,,Alison McNair,Conservative,16850,31.21%,,,,,
,,Tim Bush,Labour,8828,16.35%,,,,,
,,Anthony Cook,Referendum,1192,2.21%,,,,,
,,Richard Scrase,Green,580,1.07%,,,,,
,,Peter Sandell,United Kingdom Independence,315,0.58%,,,,,
,,Nicholas Pullen,Natural Law,55,0.10%,,,,,
,,,,,,,,,,
Batley and Spen,,Mike Wood,Labour,23213,49.43%,64209,6141,73.14%,Labour Gain,02/05/97 02:28
,,Elizabeth Peacock,Conservative,17072,36.35%,,,,,
,,Kath Pinnock,Liberal Democrat,4133,8.80%,,,,,
,,Ed Wood,Referendum,1691,3.60%,,,,,
,,Ron Smith,British National,472,1.01%,,,,,
