UK General Election Results 1997,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%Share,Electorate,Majority,Turnout,Status,Declaration
,,Bill Forrow,Conservative,9323,20.93%,,,,,
,,Gordon Beever,Liberal Democrat,7642,17.15%,,,,,
,,Paul McNulty,Referendum,1480,3.32%,,,,,
,,John Phillips,Green,938,2.11%,,,,,
,,,,,,,,,,
Hull East,,John Prescott,Labour,28870,71.31%,68733,23318,58.90%,Labour Hold,02/05/97 01:34
,,Angus West,Conservative,5552,13.71%,,,,,
,,Jim Wastling,Liberal Democrat,3965,9.79%,,,,,
,,Gordon Rogers,Referendum,1788,4.42%,,,,,
,,Margaret Nolan,People's Labour,190,0.47%,,,,,
,,David Whitley,Natural Law,121,0.30%,,,,,
,,,,,,,,,,
Hull North,,Kevin McNamara,Labour,25542,65.84%,68106,19705,56.96%,Labour Hold,02/05/97 01:51
,,David Lee,Conservative,5837,15.05%,,,,,
,,David Nolan,Liberal Democrat,5667,14.61%,,,,,
,,Norman Scott,Referendum,1533,3.95%,,,,,
,,Terry Brotheridge,Natural Law,215,0.55%,,,,,
,,,,,,,,,,
Hull West and Hessle,,Alan Johnson,Labour,22520,58.72%,65840,15525,58.25%,Labour Hold,02/05/97 01:46
,,Bob Tress,Liberal Democrat,6995,18.24%,,,,,
,,Cormach Moore,Conservative,6933,18.08%,,,,,
,,Richard Bate,Referendum,1596,4.16%,,,,,
,,Barry Franklin,Natural Law,310,0.81%,,,,,
,,,,,,,,,,
Huntingdon,,John Major,Conservative,31501,55.30%,76094,18140,74.86%,Conservative Hold,02/05/97 03:27
,,Jason Reece,Labour,13361,23.46%,,,,,
,,Matthew Owen,Liberal Democrat,8390,14.73%,,,,,
,,David Bellamy,Referendum,3114,5.47%,,,,,
,,CR Coyne,United Kingdom Independence,331,0.58%,,,,,
,,Veronica Hufford,Christian Democratic,177,0.31%,,,,,
,,Duncan Robertson,Independent,89,0.16%,,,,,
,,,,,,,,,,
Hyndburn,,Greg Pope,Labour,26831,55.58%,66806,11448,72.26%,Labour Hold,02/05/97 01:54
,,Peter Britcliffe,Conservative,15383,31.87%,,,,,
,,Les Jones,Liberal Democrat,4141,8.58%,,,,,
,,Philip Congdon,Referendum,1627,3.37%,,,,,
,,James Brown,Independent,290,0.60%,,,,,
,,,,,,,,,,
Ilford North,,Linda Perham,Labour,23135,47.36%,68218,3224,71.61%,Labour Gain,02/05/97 02:39
,,Vivian Bendall,Conservative,19911,40.76%,,,,,
,,Alan Dean,Liberal Democrat,5049,10.34%,,,,,
,,Paul Wilson,British National,755,1.55%,,,,,
,,,,,,,,,,
Ilford South,,Mike Gapes,Labour Co-op,29273,58.52%,72104,14200,69.37%,Labour/Co-operative Hold,02/05/97 02:40
,,Neil Thorne,Conservative,15073,30.13%,,,,,
,,Aina Khan,Liberal Democrat,3152,6.30%,,,,,
,,David Hodges,Referendum,1073,2.15%,,,,,
,,Bruce Ramsey,Socialist Labour,868,1.74%,,,,,
,,Aron Owens,British National,580,1.16%,,,,,
,,,,,,,,,,
"Inverness East, Nairn and Lochaber",,David Stewart,Labour,16187,33.89%,65701,2339,72.71%,Labour Gain,02/05/97 03:50
,,Fergus Ewing,Scottish National,13848,28.99%,,,,,
,,Stephen Gallagher,Liberal Democrat,8364,17.51%,,,,,
,,Mary Scanlon,Conservative,8355,17.49%,,,,,
,,Winnona Wall,Referendum,436,0.91%,,,,,
,,Murray Falconer,Green,354,0.74%,,,,,
,,Daniel Hart,Independent,224,0.47%,,,,,
,,,,,,,,,,
Ipswich,,Jamie C Cann,Labour,25484,52.69%,66947,10436,72.24%,Labour Hold,02/05/97 03:41
,,Stephen Castle,Conservative,15048,31.11%,,,,,
,,Nigel Roberts,Liberal Democrat,5881,12.16%,,,,,
,,Theodore Agnew,Referendum,1637,3.38%,,,,,
,,WJ Vinyard,United Kingdom Independence,208,0.43%,,,,,
,,Eric Kaplan,Natural Law,107,0.22%,,,,,
,,,,,,,,,,
Isle of Wight,,Peter Brand,Liberal Democrat,31274,42.75%,101680,6406,71.95%,Liberal Democrat Gain,02/05/97 02:45
,,Andrew Turner,Conservative,24868,33.99%,,,,,
,,Deborah Gardiner,Labour,9646,13.18%,,,,,
,,Tim Bristow,Referendum,4734,6.47%,,,,,
,,Malcolm Turner,United Kingdom Independence,1072,1.47%,,,,,
,,Harry Rees,Independent,848,1.16%,,,,,
,,Paul Scivier,Green,544,0.74%,,,,,
,,Clive Daly,Natural Law,87,0.12%,,,,,
,,Jonathan Eveleigh,Rainbow Dream Ticket,86,0.12%,,,,,
,,,,,,,,,,
Islington North,,Jeremy Corbyn,Labour,24834,69.25%,57385,19955,62.49%,Labour Hold,02/05/97 02:33
,,James Kempton,Liberal Democrat,4879,13.61%,,,,,
,,Simon Fawthrop,Conservative,4631,12.91%,,,,,
,,Chris M Ashby,Green,1516,4.23%,,,,,
,,,,,,,,,,
Islington South and Finsbury,,Chris Smith,Labour,22079,62.52%,55468,14563,63.67%,Labour Hold,02/05/97 02:47
,,Sarah Ludford,Liberal Democrat,7516,21.28%,,,,,
,,David Berens,Conservative,4587,12.99%,,,,,
,,Jane Bryett,Referendum,741,2.10%,,,,,
,,Alan Laws,Independent,171,0.48%,,,,,
,,Martin Creese,Natural Law,121,0.34%,,,,,
,,Erol Basarik,Independent,101,0.29%,,,,,
,,,,,,,,,,
Islwyn,,Don Touhig,Labour Co-op,26995,74.15%,50540,23931,72.03%,Labour/Co-operative Gain,02/05/97 01:24
,,Chris Worker,Liberal Democrat,3064,8.42%,,,,,
,,Russell Walters,Conservative,2864,7.87%,,,,,
,,Darren Jones,Plaid Cymru,2272,6.24%,,,,,
,,Susan Monaghan,Referendum,1209,3.32%,,,,,
,,,,,,,,,,
Jarrow,,Stephen Hepburn,Labour,28497,64.85%,63828,21933,68.84%,Labour Hold,02/05/97 01:43
,,Mark Allatt,Conservative,6564,14.94%,,,,,
,,Tim Stone,Liberal Democrat,4865,11.07%,,,,,
,,Alan LeBlond,Independent,2538,5.78%,,,,,
,,Peter Mailer,Referendum,1034,2.35%,,,,,
,,John Bissett,Socialist,444,1.01%,,,,,
,,,,,,,,,,
Keighley,,Ann Cryer,Labour,26039,50.58%,67231,7132,76.57%,Labour Gain,02/05/97 01:01
,,Gary Waller,Conservative,18907,36.73%,,,,,
,,Michael Doyle,Liberal Democrat,5064,9.84%,,,,,
,,Colin Carpenter,Referendum,1470,2.86%,,,,,
,,,,,,,,,,
Kensington and Chelsea,,Alan Clark,Conservative,19887,53.62%,67786,9519,54.71%,Conservative Hold,02/05/97 02:08
,,Robert Atkinson,Labour,10368,27.96%,,,,,
,,Robert Woodthorpe Browne,Liberal Democrat,5668,15.28%,,,,,
,,A Ellis-Jones,United Kingdom Independence,540,1.46%,,,,,
,,Edward Bear,Independent,218,0.59%,,,,,
,,George Oliver,Independent,176,0.47%,,,,,
,,Susan Hamza,Natural Law,122,0.33%,,,,,
,,Paul Sullivan,Rainbow Dream Ticket,65,0.18%,,,,,
,,Pete Parliament,Independent,44,0.12%,,,,,
,,,,,,,,,,
Kettering,,Philip Sawford,Labour,24650,43.28%,75153,189,75.79%,Labour Gain,02/05/97 13:27
,,Roger Freeman,Conservative,24461,42.95%,,,,,
,,Roger Aron,Liberal Democrat,6098,10.71%,,,,,
,,Arthur Smith,Referendum,1551,2.72%,,,,,
,,Rosemary Carpentier,Natural Law,197,0.35%,,,,,
,,,,,,,,,,
Kilmarnock and Loudoun,,Desmond Browne,Labour,23621,49.82%,61376,7256,77.24%,Labour Hold,02/05/97 02:01
,,Alex Neil,Scottish National,16365,34.52%,,,,,
,,Douglas Taylor,Conservative,5125,10.81%,,,,,
,,John Stewart,Liberal Democrat,1891,3.99%,,,,,
,,William Sneddon,Referendum,284,0.60%,,,,,
,,William Gilmour,Natural Law,123,0.26%,,,,,
,,,,,,,,,,
Kingston and Surbiton,,Edward Davey,Liberal Democrat,20411,36.67%,73879,56,75.35%,Liberal Democrat Gain,02/05/97 04:03
,,Richard Tracey,Conservative,20355,36.57%,,,,,
,,Sheila Griffin,Labour,12811,23.01%,,,,,
,,Gail Tchiprout,Referendum,1470,2.64%,,,,,
,,PA Burns,United Kingdom Independence,418,0.75%,,,,,
,,Mark Leighton,Natural Law,100,0.18%,,,,,
,,Clifford Port,Rainbow Dream Ticket,100,0.18%,,,,,
,,,,,,,,,,
Kingswood,,Roger Berry,Labour,32181,53.74%,77026,14253,77.75%,Labour Hold,02/05/97 01:44
,,Jon Howard,Conservative,17928,29.94%,,,,,
,,Jeanne Pinkerton,Liberal Democrat,7672,12.81%,,,,,
,,Alexandra Reather,Referendum,1463,2.44%,,,,,
,,Peter Hart,British National,290,0.48%,,,,,
,,Andrew Harding,Natural Law,238,0.40%,,,,,
,,Andrew Nicolson,Independent,115,0.19%,,,,,
,,,,,,,,,,
Kirkcaldy,,Lewis Moonie,Labour Co-op,18730,53.56%,52186,10710,67.02%,Labour/Co-operative Gain,02/05/97 01:09
,,Stewart Hosie,Scottish National,8020,22.93%,,,,,
,,Charlotte Black,Conservative,4779,13.66%,,,,,
,,John Mainland,Liberal Democrat,3031,8.67%,,,,,
,,Victor Baxter,Referendum,413,1.18%,,,,,
,,,,,,,,,,
Knowsley North and Sefton East,,George Howarth,Labour,34747,69.91%,70918,26147,70.09%,Labour Hold,02/05/97 01:28
,,Carl Doran,Conservative,8600,17.30%,,,,,
,,David Bamber,Liberal Democrat,5499,11.06%,,,,,
,,Chris Jones,Socialist Labour,857,1.72%,,,,,
,,,,,,,,,,
Knowsley South,,Eddie O'Hara,Labour,36695,77.11%,70532,30708,67.47%,Labour Hold,02/05/97 01:37
,,Gary Robertson,Conservative,5987,12.58%,,,,,
,,Clifford Mainey,Liberal Democrat,3954,8.31%,,,,,
,,Andrew Wright,Referendum,954,2.00%,,,,,
,,,,,,,,,,
Lagan Valley,,Jeffrey Donaldson,Ulster Unionist,24560,55.43%,71225,16925,62.21%,Ulster Unionist Hold,02/05/97 13:54
,,Seamus Close,Alliance,7635,17.23%,,,,,
,,Edwin Poots,Democratic Unionist,6005,13.55%,,,,,
,,Dolores Kelly,Social Democratic and Labour,3436,7.75%,,,,,
,,Stuart Sexton,Conservative,1212,2.74%,,,,,
,,Sue Ramsey,Sinn Féin,1110,2.51%,,,,,
,,Frances McCarthy,Workers',203,0.46%,,,,,
,,Hugh Finlay,Natural Law,149,0.34%,,,,,
,,,,,,,,,,
Lancashire West,,Colin Pickthall,Labour,33022,60.34%,73175,17119,74.79%,Labour Hold,02/05/97 04:51
,,Chris Varley,Conservative,15903,29.06%,,,,,
,,Arthur Wood,Liberal Democrat,3938,7.20%,,,,,
,,Mike Carter,Referendum,1025,1.87%,,,,,
,,John Collins,Natural Law,449,0.82%,,,,,
,,David Hill,Independent,392,0.72%,,,,,
,,,,,,,,,,
Lancaster and Wyre,,Hilton Dawson,Labour,25173,42.77%,78168,1295,75.30%,Labour Gain,02/05/97 05:43
,,Keith Mans,Conservative,23878,40.57%,,,,,
,,John Humberstone,Liberal Democrat,6802,11.56%,,,,,
,,Vivien Ivell,Referendum,1516,2.58%,,,,,
,,Jon Barry,Green,795,1.35%,,,,,
,,J Whittaker,United Kingdom Independence,698,1.19%,,,,,
,,,,,,,,,,
Leeds Central,,Derek Fatchett,Labour,25766,69.62%,67664,20689,54.70%,Labour Hold,02/05/97 00:45
,,Edward Wild,Conservative,5077,13.72%,,,,,
,,David Freeman,Liberal Democrat,4164,11.25%,,,,,
,,Philip Myers,Referendum,1042,2.82%,,,,,
,,Dave Rix,Socialist Labour,656,1.77%,,,,,
,,Chris Hill,Socialist,304,0.82%,,,,,
,,,,,,,,,,
Leeds East,,George Mudie,Labour,24151,67.48%,56963,17466,62.83%,Labour Hold,02/05/97 01:03
,,John Emsley,Conservative,6685,18.68%,,,,,
,,Madeleine Kirk,Liberal Democrat,3689,10.31%,,,,,
,,Leon Parish,Referendum,1267,3.54%,,,,,
,,,,,,,,,,
Leeds North East,,Fabian Hamilton,Labour,22368,49.15%,63185,6959,72.03%,Labour Gain,02/05/97 02:27
,,Timothy Kirkhope,Conservative,15409,33.86%,,,,,
,,Bill Winlow,Liberal Democrat,6318,13.88%,,,,,
,,Ian Rose,Referendum,946,2.08%,,,,,
,,Jan Egan,Socialist Labour,468,1.03%,,,,,
,,,,,,,,,,
Leeds North West,,Harold Best,Labour,19694,39.89%,69972,3844,70.57%,Labour Gain,02/05/97 01:38
,,Keith Hampson,Conservative,15850,32.10%,,,,,
,,Barbara Pearce,Liberal Democrat,11689,23.67%,,,,,
,,Sean Emmett,Referendum,1325,2.68%,,,,,
,,Roger Lamb,Socialist Labour,335,0.68%,,,,,
,,Robert Toone,People's Labour,251,0.51%,,,,,
,,Daniel Duffy,Independent,232,0.47%,,,,,
,,,,,,,,,,
Leeds West,,John Battle,Labour,26819,66.68%,63965,19771,62.88%,Labour Hold,02/05/97 01:18
,,John Whelan,Conservative,7048,17.52%,,,,,
,,Nigel Amor,Liberal Democrat,3622,9.01%,,,,,
,,Bill Finley,Referendum,1210,3.01%,,,,,
,,David Blackburn,Green,896,2.23%,,,,,
,,Noel Nowosielski,Liberal,625,1.55%,,,,,
,,,,,,,,,,
Leicester East,,Keith Vaz,Labour,29083,65.50%,64012,18422,69.37%,Labour Hold,02/05/97 01:55
,,Simon Milton,Conservative,10661,24.01%,,,,,
,,Jay Matabudul,Liberal Democrat,3105,6.99%,,,,,
,,Philip Iwaniw,Referendum,1015,2.29%,,,,,
,,Sohan Sing Sidhu,Socialist Labour,436,0.98%,,,,,
,,Neil Slack,Independent,102,0.23%,,,,,
,,,,,,,,,,
Leicester South,,Jim Marshall,Labour,27914,58.02%,71750,16493,67.06%,Labour Hold,02/05/97 01:46
,,Christopher Heaton-Harris,Conservative,11421,23.74%,,,,,
,,Barry Coles,Liberal Democrat,6654,13.83%,,,,,
,,John Hancock,Referendum,1184,2.46%,,,,,
,,Jim Dooher,Socialist Labour,634,1.32%,,,,,
,,Kevin Sills,National Democratic Resistance,307,0.64%,,,,,
,,,,,,,,,,
Leicester West,,Patricia Hewitt,Labour,22580,55.19%,64570,12864,63.36%,Labour Hold,02/05/97 01:52
,,Richard Thomas,Conservative,9716,23.75%,,,,,
,,Mark Jones,Liberal Democrat,5795,14.16%,,,,,
,,William Shooter,Referendum,970,2.37%,,,,,
,,Geoff Forse,Green,586,1.43%,,,,,
,,David Roberts,Socialist Labour,452,1.10%,,,,,
,,Josephine Nicholls,Socialist,327,0.80%,,,,,
,,Adrian Belshaw,British National,302,0.74%,,,,,
,,Clive Potter,National Democratic Resistance,186,0.45%,,,,,
,,,,,,,,,,
Leicestershire North West,,David Taylor,Labour Co-op,29332,56.38%,65069,13219,79.95%,Labour/Co-operative Gain,02/05/97 03:15
,,Robert Goodwill,Conservative,16113,30.97%,,,,,
,,Stan Heptinstall,Liberal Democrat,4492,8.63%,,,,,
,,Maurice Abney-Hastings,Referendum,2088,4.01%,,,,,
,,,,,,,,,,
Leigh,,Lawrence Cunliffe,Labour,31652,68.93%,69908,24496,65.69%,Labour Hold,02/05/97 00:41
,,Edward Young,Conservative,7156,15.58%,,,,,
,,Peter Hough,Liberal Democrat,5163,11.24%,,,,,
,,Roy Constable,Referendum,1949,4.24%,,,,,
,,,,,,,,,,
Leominster,,Peter Temple-Morris,Conservative,22888,45.28%,65993,8835,76.60%,Conservative Hold,02/05/97 05:55
,,Terry James,Liberal Democrat,14053,27.80%,,,,,
,,Richard Westwood,Labour,8831,17.47%,,,,,
,,Anthony Parkin,Referendum,2815,5.57%,,,,,
,,Felicity Norman,Green,1086,2.15%,,,,,
,,R J Chamings,United Kingdom Independence,588,1.16%,,,,,
,,John Haycock,British National,292,0.58%,,,,,
,,,,,,,,,,
Lewes,,Norman Baker,Liberal Democrat,21250,43.22%,64340,1300,76.42%,Liberal Democrat Gain,02/05/97 04:56
,,Tim Rathbone,Conservative,19950,40.57%,,,,,
,,Mark Patton,Labour,5232,10.64%,,,,,
,,Lucille Butler,Referendum,2481,5.05%,,,,,
,,JS Harvey,United Kingdom Independence,256,0.52%,,,,,
,,,,,,,,,,
Lewisham Deptford,,Joan Ruddock,Labour,23827,70.82%,58141,18878,57.87%,Labour Hold,02/05/97 02:29
,,Irene Kimm,Conservative,4949,14.71%,,,,,
,,Kofi Appiah,Liberal Democrat,3004,8.93%,,,,,
,,John Mulrenan,Socialist Labour,996,2.96%,,,,,
,,Shelagh Shepherd,Referendum,868,2.58%,,,,,
,,,,,,,,,,
Lewisham East,,Bridget Prentice,Labour,21821,58.33%,56333,12127,66.41%,Labour Hold,02/05/97 03:32
,,Philip Hollobone,Conservative,9694,25.91%,,,,,
,,David Buxton,Liberal Democrat,4178,11.17%,,,,,
,,Spencer Drury,Referendum,910,2.43%,,,,,
,,Robert Croucher,National Front,431,1.15%,,,,,
,,Peter White,Liberal,277,0.74%,,,,,
,,Captain Rizz,Rainbow Dream Ticket,97,0.26%,,,,,
,,,,,,,,,,
Lewisham West,,Jim Dowd,Labour,23273,61.96%,58659,14317,64.04%,Labour Hold,02/05/97 03:03
,,Clare Whelan,Conservative,8956,23.84%,,,,,
,,Kathy McGrath,Liberal Democrat,3672,9.78%,,,,,
,,Anthony Leese,Referendum,1098,2.92%,,,,,
,,Nick Long,Socialist Labour,398,1.06%,,,,,
,,Liz Oram,Liberal,167,0.44%,,,,,
,,,,,,,,,,
Leyton and Wanstead,,Harry Cohen,Labour,23922,60.84%,62176,15186,63.24%,Labour Hold,02/05/97 01:47
,,Robert Vaudry,Conservative,8736,22.22%,,,,,
,,Charles Anglin,Liberal Democrat,5920,15.06%,,,,,
,,Sean Duffy,People's Labour,488,1.24%,,,,,
,,Abdul Mian,Independent,256,0.65%,,,,,
,,,,,,,,,,
Lichfield,,Michael Fabricant,Conservative,20853,42.91%,62720,238,77.48%,Conservative Hold,02/05/97 05:40
,,Susan Woodward,Labour,20615,42.42%,,,,,
,,Phillip Bennion,Liberal Democrat,5473,11.26%,,,,,
,,George Seward,Referendum,1652,3.40%,,,,,
,,,,,,,,,,
Lincoln,,Gillian Merron,Labour,25563,54.92%,65485,11130,71.08%,Labour Gain,02/05/97 02:35
,,Anthony Brown,Conservative,14433,31.01%,,,,,
,,Lisa Gabriel,Liberal Democrat,5048,10.84%,,,,,
,,John Ivory,Referendum,1329,2.86%,,,,,
,,Adrian Myers,Natural Law,175,0.38%,,,,,
,,,,,,,,,,
Linlithgow,,Tam Dalyell,Labour,21469,54.14%,53706,10838,73.84%,Labour Hold,02/05/97 01:26
,,Kenny MacAskill,Scottish National,10631,26.81%,,,,,
,,Tom Kerr,Conservative,4964,12.52%,,,,,
,,Andrew Duncan,Liberal Democrat,2331,5.88%,,,,,
,,Kenneth Plomer,Referendum,259,0.65%,,,,,
,,,,,,,,,,
Liverpool Garston,,Maria Eagle,Labour,26667,61.33%,66755,18417,65.14%,Labour Hold,02/05/97 01:24
,,Flo Clucas,Liberal Democrat,8250,18.97%,,,,,
,,Nigel Gordon-Johnson,Conservative,6819,15.68%,,,,,
,,Frank Dunne,Referendum,833,1.92%,,,,,
,,Gary Copeland,Liberal,666,1.53%,,,,,
,,John Parsons,Natural Law,127,0.29%,,,,,
,,Stuart Nolan,Independent,120,0.28%,,,,,
,,,,,,,,,,
Liverpool Riverside,,Louise Ellman,Labour Co-op,26858,70.43%,73429,21799,51.93%,Labour/Co-operative Gain,02/05/97 01:14
,,Beatrice Fraenkel,Liberal Democrat,5059,13.27%,,,,,
,,David Sparrow,Conservative,3635,9.53%,,,,,
,,Cathy Wilson,Socialist,776,2.03%,,,,,
,,David Green,Liberal,594,1.56%,,,,,
,,George Skelly,Referendum,586,1.54%,,,,,
,,Heather Neilson,People's Labour,277,0.73%,,,,,
,,David Braid,Independent,179,0.47%,,,,,
,,Geoffey Gay,Natural Law,171,0.45%,,,,,
,,,,,,,,,,
Liverpool Walton,,Peter Kilfoyle,Labour,31516,78.38%,67527,27038,59.54%,Labour Hold,02/05/97 01:39
,,Richard Roberts,Liberal Democrat,4478,11.14%,,,,,
,,Mark Kotecha,Conservative,2551,6.34%,,,,,
,,Charles Grundy,Referendum,620,1.54%,,,,,
,,Lesley Mahmood,Socialist,444,1.10%,,,,,
,,Hazel Williams,Liberal,352,0.88%,,,,,
,,Veronica Mearns,People's Labour,246,0.61%,,,,,
,,,,,,,,,,
Liverpool West Derby,,Robert Wareing,Labour,30002,71.17%,68682,25965,61.38%,Labour Hold,02/05/97 01:11
,,Steve Radford,Liberal,4037,9.58%,,,,,
,,Ann Hines,Liberal Democrat,3805,9.03%,,,,,
,,Neil Morgan,Conservative,3656,8.67%,,,,,
,,Peter Forrest,Referendum,657,1.56%,,,,,
,,,,,,,,,,
Livingston,,Robin Cook,Labour,23510,54.89%,60296,11747,71.04%,Labour Hold,02/05/97 00:57
,,Peter Johnston,Scottish National,11763,27.46%,,,,,
,,Hugh Craigi Halkett,Conservative,4028,9.40%,,,,,
,,Ewan Hawthorn,Liberal Democrat,2876,6.71%,,,,,
,,Helen Campbell,Referendum,444,1.04%,,,,,
,,Matt Culbert,Socialist,213,0.50%,,,,,
,,,,,,,,,,
Llanelli,,Denzil Davies,Labour,23851,57.88%,58323,16039,70.66%,Labour Hold,02/05/97 02:41
,,Marc Phillips,Plaid Cymru,7812,18.96%,,,,,
,,Andrew Hayes,Conservative,5003,12.14%,,,,,
,,Nick Burree,Liberal Democrat,3788,9.19%,,,,,
,,John Willock,Socialist Labour,757,1.84%,,,,,
,,,,,,,,,,
Londonderry East,,William Ross,Ulster Unionist,13558,35.58%,58831,3794,64.77%,Ulster Unionist Hold,02/05/97 14:02
,,Gregory Campbell,Democratic Unionist,9764,25.63%,,,,,
,,Arthur Doherty,Social Democratic and Labour,8273,21.71%,,,,,
,,Malachy O'Kane,Sinn Féin,3463,9.09%,,,,,
,,Yvonne Boyle,Alliance,2427,6.37%,,,,,
,,James Holmes,Conservative,436,1.14%,,,,,
,,Clare Gallen,Natural Law,100,0.26%,,,,,
,,Ian Anderson,National Democratic Resistance,81,0.21%,,,,,
,,,,,,,,,,
Loughborough,,Andy Reed,Labour Co-op,25448,48.60%,68945,5712,75.95%,Labour/Co-operative Gain,02/05/97 04:19
,,Kenneth Andrew,Conservative,19736,37.69%,,,,,
,,Diana Brass,Liberal Democrat,6190,11.82%,,,,,
,,Rama Gupta,Referendum,991,1.89%,,,,,
,,,,,,,,,,
Louth and Horncastle,,Peter Tapsell,Conservative,21699,43.44%,68824,6900,72.58%,Conservative Hold,02/05/97 03:43
,,John Hough,Labour,14799,29.63%,,,,,
,,Fiona Martin,Liberal Democrat,12207,24.44%,,,,,
,,Rosemary Robinson,Green,1248,2.50%,,,,,
,,,,,,,,,,
Ludlow,,Christopher Gill,Conservative,19633,42.42%,61267,5909,75.55%,Conservative Hold,02/05/97 16:35
,,Ian Huffer,Liberal Democrat,13724,29.65%,,,,,
,,Nuala O'Kane,Labour,11745,25.38%,,,,,
,,Tim Andrewes,Green,798,1.72%,,,,,
,,Eric Freeman-Keel,United Kingdom Independence,385,0.83%,,,,,
,,,,,,,,,,
Luton North,,Kelvin Hopkins,Labour,25860,54.64%,64618,9626,73.25%,Labour Gain,02/05/97 03:00
,,David Senior,Conservative,16234,34.30%,,,,,
,,Kathryn Newbound,Liberal Democrat,4299,9.08%,,,,,
,,Colin Brown,United Kingdom Independence,689,1.46%,,,,,
,,Aaron Custance,Natural Law,250,0.53%,,,,,
,,,,,,,,,,
Luton South,,Margaret Moran,Labour,26428,54.85%,68395,11319,70.45%,Labour Gain,02/05/97 02:59
,,Graham Bright,Conservative,15109,31.36%,,,,,
,,Keith Fitchett,Liberal Democrat,4610,9.57%,,,,,
,,Clive Jacobs,Referendum,1205,2.50%,,,,,
,,CS Lawman,United Kingdom Independence,390,0.81%,,,,,
,,Marc Scheimann,Green,356,0.74%,,,,,
,,Claire Perrin,Natural Law,86,0.18%,,,,,
,,,,,,,,,,
Macclesfield,,Nicholas Winterton,Conservative,26888,49.61%,72049,8654,75.22%,Conservative Hold,02/05/97 02:33
,,Janet Jackson,Labour,18234,33.64%,,,,,
,,Mike Flynn,Liberal Democrat,9075,16.74%,,,,,
,,,,,,,,,,
Maidenhead,,Theresa May,Conservative,25344,49.80%,67302,11981,75.61%,Conservative Hold,02/05/97 03:39
,,Andrew Ketteringham,Liberal Democrat,13363,26.26%,,,,,
,,Denise Robson,Labour,9205,18.09%,,,,,
,,Charles Taverner,Referendum,1638,3.22%,,,,,
,,David Munkley,Liberal,896,1.76%,,,,,
,,N Spiers,United Kingdom Independence,277,0.54%,,,,,
,,Kristian Ardley,Independent,166,0.33%,,,,,
,,,,,,,,,,
Maidstone and the Weald,,Ann Widdecombe,Conservative,23657,44.13%,72466,9603,73.98%,Conservative Hold,02/05/97 03:56
,,John Morgan,Labour,14054,26.22%,,,,,
,,Jane Nelson,Liberal Democrat,11986,22.36%,,,,,
,,Sarah Hopkins,Referendum,1998,3.73%,,,,,
,,Maureen Cleator,Socialist Labour,979,1.83%,,,,,
,,Penny Kemp,Green,480,0.90%,,,,,
,,R Owen,United Kingdom Independence,339,0.63%,,,,,
,,John Oldbury,Natural Law,115,0.21%,,,,,
,,,,,,,,,,
Makerfield,,Ian McCartney,Labour,33119,73.57%,67358,26177,66.83%,Labour Hold,02/05/97 01:14
,,Michael Winstanley,Conservative,6942,15.42%,,,,,
,,Bruce Hubbard,Liberal Democrat,3743,8.32%,,,,,
,,Andrew Seed,Referendum,1210,2.69%,,,,,
,,,,,,,,,,
Maldon and Chelmsford East,,John Whittingdale,Conservative,24524,48.67%,66184,10039,76.13%,Conservative Hold,02/05/97 04:00
,,Kevin Freeman,Labour,14485,28.75%,,,,,
,,Graham Pooley,Liberal Democrat,9758,19.37%,,,,,
,,L Overy-Owen,United Kingdom Independence,935,1.86%,,,,,
,,Eleanor Burgess,Green,685,1.36%,,,,,
,,,,,,,,,,
Manchester Blackley,,Graham Stringer,Labour,25042,70.04%,62227,19588,57.46%,Labour Hold,02/05/97 00:19
,,Stephen Barclay,Conservative,5454,15.25%,,,,,
,,Simon Wheale,Liberal Democrat,3937,11.01%,,,,,
,,Paul Stanyer,Referendum,1323,3.70%,,,,,
,,,,,,,,,,
Manchester Central,,Tony Lloyd,Labour,23803,70.98%,63815,19682,52.55%,Labour Hold,02/05/97 01:40
,,Alison Firth,Liberal Democrat,4121,12.29%,,,,,
,,Simon McIlwaine,Conservative,3964,11.82%,,,,,
,,Francis Rafferty,Socialist Labour,810,2.42%,,,,,
,,Bill Maxwell,Referendum,742,2.21%,,,,,
,,Timothy Rigby,Independent,97,0.29%,,,,,
,,,,,,,,,,
Manchester Gorton,,Gerald B Kaufman,Labour,23704,65.28%,64349,17342,56.43%,Labour Hold,02/05/97 00:55
,,Jackie Pearcey,Liberal Democrat,6362,17.52%,,,,,
,,Guy Senior,Conservative,4249,11.70%,,,,,
,,Kevin Hartley,Referendum,812,2.24%,,,,,
,,Spencer Fitz-Gibbon,Green,683,1.88%,,,,,
,,Trevor Wongsam,Socialist Labour,501,1.38%,,,,,
,,,,,,,,,,
Manchester Withington,,Keith Bradley,Labour,27103,61.56%,66116,18581,66.59%,Labour Hold,02/05/97 01:58
,,Jonathan Smith,Conservative,8522,19.36%,,,,,
,,Yasmin Zalzala,Liberal Democrat,6000,13.63%,,,,,
,,Mark Sheppard,Referendum,1079,2.45%,,,,,
,,Simon Caldwell,People's Labour,614,1.39%,,,,,
,,Julie White,Socialist,376,0.85%,,,,,
,,Stephen Kingston,Rainbow Dream Ticket,181,0.41%,,,,,
,,Mark Gaskell,Natural Law,152,0.35%,,,,,
,,,,,,,,,,
