General election results 2010,,,Party,Votes,Share,*lost deposit,change since 2005,
, ,"Dewick, W.J.",BNP,757,1.7,*,, 
, ,"Foley, B.",GRN,393,0.9,*,, 
, ,"Bhandari, S.",Ind,120,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'353,3,, , 
Bedfordshire Mid [42],76'310,71.9,"Dorries, N.V. Ms.*",Con,28'815,52.5,,+,5.9
, ,"Jack, L.A. Ms.",LD,13'663,24.9,,+,1.4
, ,"Reeves, D.P.",Lab,8'108,14.8,,-,7.7
, ,"Hall, B.",UKIP,2'826,5.1,,+,2.4
, ,"Bailey, M.",GRN,773,1.4,*,-,1.2
, ,"Cooper, J.",ED,712,1.3,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,15'152,27.6,, , 
Bedfordshire North East [43],78'060,71.2,"Burt, A.J.H.*",Con,30'989,55.8,,+,5.9
, ,"Pitt, M.",LD,12'047,21.7,,+,0.8
, ,"Brown, E.M.",Lab,8'957,16.1,,-,9.1
, ,"Capell, B.",UKIP,2'294,4.1,*,+,0.1
, ,"Seeby, I.J.",BNP,1'265,2.3,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,18'942,34.1,, , 
Bedfordshire South West [44],76'559,66.3,"Selous, A.E.A.*",Con,26'815,52.8,,+,4.5
, ,"Cantrill, R.G.",LD,10'166,20,,+,3.2
, ,"Bone, J. Ms.",Lab,9'948,19.6,,-,10.6
, ,"Newman, M.J.",UKIP,2'142,4.2,*,+,0
, ,"Tolman, M.C.",BNP,1'703,3.4,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,16'649,32.8,, , 
Belfast East [45],59'007,58.4,"Long, N. Ms.",APNI,12'839,37.2,, , 
, ,"Robinson, P.*",DUP,11'306,32.8,,-,19.6
, ,"Ringland, T.",UCUNF,7'305,21.2,, , 
, ,"Vance, D.",TUV,1'856,5.4,, , 
, ,"O'Donnghaile, N.",SF,817,2.4,*,-,0.1
, ,"Muldoon, M. Ms.",SDLP,365,1.1,*,-,1.1
, , , ,-----,---,, , 
2005: DUP,, , ,1'533,4.4,, , 
Belfast North [46],65'504,56.5,"Dodds, N.*",DUP,14'812,40,,-,2.9
, ,"Kelly, G.",SF,12'588,34,,+,7.1
, ,"Maginness, A.A.",SDLP,4'544,12.3,,-,4.5
, ,"Cobain, F.",UCUNF,2'837,7.7,, , 
, ,"Webb, B.",APNI,1'809,4.9,*,, 
, ,"McAuley, M.",Ind,403,1.1,*,, 
, , , ,-----,---,, , 
2005: DUP,, , ,2'224,6,, , 
Belfast South [47],59'524,57.4,"McDonnell, A.*",SDLP,14'026,41,,+,10.9
, ,"Spratt, J.",DUP,8'100,23.7,,-,5.9
, ,"Bradshaw, P.J. Ms.",UCUNF,5'910,17.3,, , 
, ,"Lo, A. Ms.",APNI,5'114,15,, , 
, ,"McGibbon, A.M.J.",GRN,1'036,3,*,, 
, , , ,-----,---,, , 
2005: SDLP,, , ,5'926,17.3,, , 
Belfast West [48],59'522,54,"Adams, G.*",SF,22'840,71.1,,+,2.5
, ,"Attwood, A.",SDLP,5'261,16.4,,+,0.3
, ,"Humphrey, W.",DUP,2'436,7.6,,-,3.3
, ,"Manwaring, B.",UCUNF,1'000,3.1,*,, 
, ,"Hendron, M. Ms.",APNI,596,1.9,*,, 
, , , ,-----,---,, , 
2005: SF,, , ,17'579,54.7,, , 
Bermondsey and Old Southwark [49],77'628,57.5,"Hughes, S.H.W.*",LD,21'590,48.4,,+,0.7
, ,"Shawcross, V. Ms.",Lab,13'060,29.2,,-,2.4
, ,"Morrison, L. Ms.",Con,7'638,17.1,,+,4.1
, ,"Tyler, S.J.",BNP,1'370,3.1,*,, 
, ,"Chance, T.",GRN,718,1.6,*,-,1.4
, ,"Kirkby, A.D.",Ind,155,0.3,*,, 
, ,"Freeman, S.",ND,120,0.3,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,8'530,19.1,, , 
Berwick-upon-Tweed [50],56'578,67.9,"Beith, A.J.*",LD,16'806,43.7,,-,8.9
, ,"Trevelyan, A.B. Ms.",Con,14'116,36.7,,+,7.7
, ,"Strickland, A.",Lab,5'061,13.2,,-,5.2
, ,"Weatheritt, M.",UKIP,1'243,3.2,*,, 
, ,"Mailer, P.W.",BNP,1'213,3.2,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,2'690,7,, , 
"Berwickshire Roxburgh and Selkirk [51]",73'826,66.4,"Moore, M.K.*",LD,22'230,45.4,,+,3.5
, ,"Lamont, J.R.",Con,16'555,33.8,,+,4.9
, ,"Miller, I.",Lab,5'003,10.2,,-,5.7
, ,"Wheelhouse, P.R.W.",SNP,4'497,9.2,,+,0.6
, ,"Fowler, S.M. Ms.",UKIP,595,1.2,*,-,0.1
, ,"Black, C. Ms.",SJP,134,0.3,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,5'675,11.6,, , 
Bethnal Green and Bow [52],81'243,62.4,"Ali, R. Ms.",Lab,21'784,42.9,,+,8.5
, ,"Masroor, A.",LD,10'210,20.1,,+,7.8
, ,"Miah, A.",Respect,8'532,16.8,, , 
, ,"Khan, Z.H.",Con,7'071,13.9,,+,2
, ,"Marshall, J.C.",BNP,1'405,2.8,*,, 
, ,"Bakht, F.",GRN,856,1.7,*,-,2.8
, ,"Brooks, P.",Ind,277,0.5,*,, 
, ,"Van Terheyden, A.R.",Pirate,213,0.4,*,, 
, ,"Hikmat, H.",UV,209,0.4,*,, 
, ,"Choudhury, M.",Ind,100,0.2,*,, 
, ,"Malik, A.A.",Ind,71,0.1,*,, 
, , , ,-----,---,, , 
2005: Respect,, , ,11'574,22.8,, , 
Beverley and Holderness [53],79'318,67.1,"Stuart, G.C.*",Con,25'063,47.1,,+,6.2
, ,"Dobson, C.",LD,12'076,22.7,,+,3
, ,"Saunders, I.",Lab,11'224,21.1,,-,13.6
, ,"Whitelam, N.",BNP,2'080,3.9,*,, 
, ,"Horsfield, A.",UKIP,1'845,3.5,*,-,1.2
, ,"Rigby, B.",GRN,686,1.3,*,, 
, ,"Hughes, R.",Ind,225,0.4,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,12'987,24.4,, , 
Bexhill and Battle [54],81'032,67.4,"Barker, G.L.G.*",Con,28'147,51.6,,-,2.6
, ,"Varrall, M.E. Ms.",LD,15'267,28,,+,5.3
, ,"Royston, J.W.",Lab,6'524,12,,-,5.9
, ,"Wheeler, J.S.",Trust,2'699,4.9,*,, 
, ,"Jackson, N.P.",BNP,1'950,3.6,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,12'880,23.6,, , 
Bexleyheath and Crayford [55],65'015,66.4,"Evennett, D.A.*",Con,21'794,50.5,,+,3.9
, ,"Dawber, H.",Lab,11'450,26.5,,-,7.7
, ,"Scott, K. Ms.",LD,5'502,12.7,,-,0.4
, ,"James, S.A.",BNP,2'042,4.7,*,+,1.8
, ,"Dunford, J.W.",UKIP,1'557,3.6,*,+,0.4
, ,"Griffiths, J.H.",ED,466,1.1,*,, 
, ,"Ross, A.N.",GRN,371,0.9,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,10'344,24,, , 
Birkenhead [56],62'773,56.3,"Field, F.*",Lab,22'082,62.5,,-,2.3
, ,"Gilbert, A.N.",Con,6'687,18.9,,+,2.4
, ,"Kelly, S.E.",LD,6'554,18.6,,-,0.1
, , , ,-----,---,, , 
2005: Lab,, , ,15'395,43.6,, , 
Birmingham Edgbaston [57],68'573,60.6,"Stuart, G.G. Ms.*",Lab,16'894,40.6,,-,2.5
, ,"Alden, D.C. Ms.",Con,15'620,37.6,,-,1.5
, ,"Harmer, R.K.",LD,6'387,15.4,,+,2.6
, ,"Lloyd, T.S.",BNP,1'196,2.9,*,, 
, ,"Warwick, G.J.G.",UKIP,732,1.8,*,-,0.4
, ,"Simpson, P.",GRN,469,1.1,*,-,1.7
, ,"Takhar, H.",Impact,146,0.4,*,, 
, ,"Fernando, C.H.",Ch P,127,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'274,3.1,, , 
Birmingham Erdington [58],66'405,53.5,"Dromey, J.",Lab,14'869,41.8,,-,11.1
, ,"Alden, R.J.C.",Con,11'592,32.6,,+,9.7
, ,"Holtom, A.L. Ms.",LD,5'742,16.2,,+,0.3
