General election results 2010,,,Party,Votes,Share,*lost deposit,change since 2005,
, ,"Rock, N.I.C.",LD,13'393,27.7,,+,5.6
, ,"Milton, N.D.",Lab,6'949,14.3,,-,11.2
, ,"Moore, J.D.",UKIP,1'214,2.5,*,+,0.4
, ,"Harrison, J.N.",GRN,568,1.2,*,, 
, ,"Rukin, J.",Ind,362,0.7,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,12'552,25.9,, , 
Kensington [340],65'975,53.3,"Rifkind, M.L.*",Con,17'595,50.1,,+,6.2
, ,"Gurney, S.",Lab,8'979,25.5,,-,4.1
, ,"Meltzer, R.M.",LD,6'872,19.6,,-,0.6
, ,"Pearson, C. Ms.",UKIP,754,2.1,*,+,1
, ,"Ebrahimi-Fardouee, Z. Ms.",GRN,753,2.1,*,-,2.4
, ,"Adams, E.",AGS,197,0.6,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,8'616,24.5,, , 
Kettering [341],68'824,68.8,"Hollobone, P.T.*",Con,23'247,49.1,,+,6.2
, ,"Sawford, P.A.",Lab,14'153,29.9,,-,12.7
, ,"Nelson, C.R.",LD,7'498,15.8,,+,3.6
, ,"Skinner, C.R.",BNP,1'366,2.9,*,, 
, ,"Hilling, D.",ED,952,2,*,, 
, ,"Bishop, D.L.",BP Elvis,112,0.2,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,9'094,19.2,, , 
Kilmarnock and Loudoun [342],74'131,62.8,"Jamieson, C. Ms.*",Lab,24'460,52.5,,+,5.3
, ,"Leslie, G.",SNP,12'082,26,,-,1.7
, ,"McAlpine, J. Ms.",Con,6'592,14.2,,+,2.8
, ,"Tombs, S.M.",LD,3'419,7.3,,-,3.8
, , , ,-----,---,, , 
2005: Lab,, , ,12'378,26.6,, , 
Kingston and Surbiton [343],81'115,70.4,"Davey, E.J.*",LD,28'428,49.8,,-,1.3
, ,"Whately, H.O.B. Ms.",Con,20'868,36.5,,+,3.5
, ,"Freedman, M.O.",Lab,5'337,9.3,,-,3.8
, ,"Greensted, J.J.P.",UKIP,1'450,2.5,*,+,1.2
, ,"Walker, C.J.",GRN,555,1,*,, 
, ,"Pope, P.R.",MRLP,247,0.4,*,, 
, ,"May, A.J.",CPA,226,0.4,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,7'560,13.2,, , 
Kingswood [344],66'361,72.2,"Skidmore, C.",Con,19'362,40.4,,+,8.3
, ,"Berry, R.L.*",Lab,16'917,35.3,,-,10.6
, ,"Fitzharris, S.A. Ms.",LD,8'072,16.8,,-,1.2
, ,"Dowdney, N.F.",UKIP,1'528,3.2,*,+,0.8
, ,"Carey, M.J.",BNP,1'311,2.7,*,, 
, ,"Foster, N.",GRN,383,0.8,*,, 
, ,"Blundell, M.",ED,333,0.7,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,2'445,5.1,, , 
Kirkcaldy and Cowdenbeath [345],73'534,62.3,"Brown, G.*",Lab,29'559,64.5,,+,6.4
, ,"Chapman, D.",SNP,6'550,14.3,,-,0.2
, ,"Mainland, J.",LD,4'269,9.3,,-,3.7
, ,"Paterson, L. Ms.",Con,4'258,9.3,,-,1
, ,"Adams, P.",UKIP,760,1.7,*,+,0.4
, ,"Archibald, S. Ms.",Ind,184,0.4,*,, 
, ,"MacLaren of MacLaren, D.",Ind,165,0.4,*,, 
, ,"Jackson, D.L.",Land,57,0.1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,23'009,50.2,, , 
Knowsley [346],79'564,56.1,"Howarth, G.E.*",Lab,31'650,70.9,,-,0.9
, ,"Clucas, H.F. Ms.",LD,5'964,13.4,,-,0.4
, ,"Dunne, D.J.",Con,4'004,9,,-,2.3
, ,"Greenhalgh, S.",BNP,1'895,4.2,*,+,2.2
, ,"Rundle, A.J.",UKIP,1'145,2.6,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,25'686,57.5,, , 
Lagan Valley [347],65'257,56,"Donaldson, J.*",DUP,18'199,49.8,,-,8.5
, ,"Trimble, D. Ms.",UCUNF,7'713,21.1,, , 
, ,"Lunn, T.",APNI,4'174,11.4,, , 
, ,"Harbinson, K.",TUV,3'154,8.6,, , 
, ,"Heading, B.",SDLP,1'835,5,,+,1.5
, ,"Butler, P.",SF,1'465,4,*,-,0.3
, , , ,-----,---,, , 
2005: DUP,, , ,10'486,28.7,, , 
Lanark and Hamilton East [348],74'773,62.3,"Hood, J.*",Lab,23'258,50,,+,3.9
, ,"Adamson, C. Ms.",SNP,9'780,21,,+,3.2
, ,"McGavigan, C.",Con,6'981,15,,+,2.2
, ,"Herbison, D.",LD,5'249,11.3,,-,7.4
, ,"McFarlane, D.M.",Ind,670,1.4,*,, 
, ,"Sale, R.",UKIP,616,1.3,*,+,0.3
, , , ,-----,---,, , 
2005: Lab,, , ,13'478,29,, , 
Lancashire West [349],73'835,65.7,"Cooper, R.E. Ms.*",Lab,21'883,45.1,,-,2.9
, ,"Owens, A.E.",Con,17'540,36.2,,+,2.2
, ,"Gibson, J.P.R.",LD,6'573,13.6,,-,0.5
, ,"Noone, D.E.",UKIP,1'775,3.7,*,+,1.6
, ,"Cranie, P.A.",GRN,485,1,*,, 
, ,"Braid, D.O.",C28,217,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,4'343,9,, , 
Lancaster and Fleetwood [350],67'379,63.4,"Ollerenshaw, E.",Con,15'404,36.1,,+,2.5
, ,"Grunshaw, C.",Lab,15'071,35.3,,-,7.1
, ,"Langhorn, S.",LD,8'167,19.1,,+,3.5
, ,"Dowding, G. Ms.",GRN,1'888,4.4,*,-,1.4
, ,"McGlade, F.",UKIP,1'020,2.4,*,-,0.1
, ,"Kent, D. Ms.",BNP,938,2.2,*,, 
, ,"Riley, K.",Ind,213,0.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,333,0.8,, , 
Leeds Central [351],81'266,46,"Benn, H.J.*",Lab,18'434,49.3,,-,10.2
, ,"Taylor, M.",LD,7'789,20.8,,-,0.7
, ,"Lamb, A.J.",Con,7'541,20.2,,+,7.5
, ,"Meeson, K.",BNP,3'066,8.2,,+,4.7
, ,"Procter, D.",Ind,409,1.1,*,, 
, ,"One-Nil, W.",ND,155,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,10'645,28.5,, , 
Leeds East [352],64'698,58.4,"Mudie, G.*",Lab,19'056,50.4,,-,9.4
, ,"Anderson, B.J.",Con,8'763,23.2,,+,1.6
, ,"Tear, A.P.",LD,6'618,17.5,,+,0.3
, ,"Brown, T.D.",BNP,2'947,7.8,, , 
, ,"Davies, M.F.",AGS,429,1.1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,10'293,27.2,, , 
Leeds North East [353],67'899,70,"Hamilton, F.*",Lab,20'287,42.7,,-,3
, ,"Lobley, M.",Con,15'742,33.1,,+,2.9
, ,"Choudhry, A. Ms.",LD,9'310,19.6,,-,2.1
, ,"Hendon, W.",UKIP,842,1.8,*,, 
, ,"Redmond, T.",BNP,758,1.6,*,, 
, ,"Foote, C.E. Ms.",AGS,596,1.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,4'545,9.6,, , 
Leeds North West [354],65'399,66.5,"Mulholland, G.*",LD,20'653,47.5,,+,10.6
, ,"Mulligan, J. Ms.",Con,11'550,26.6,,-,0.3
, ,"Blake, J. Ms.",Lab,9'132,21,,-,10.9
, ,"Bulmer, G.J.",BNP,766,1.8,*,, 
, ,"Thackray, M.A.",UKIP,600,1.4,*,, 
, ,"Hemingway, M.F.",GRN,508,1.2,*,-,1.5
, ,"Procter, A.",ED,153,0.4,*,, 
, ,"Bavage, T.A.J.",AGS,121,0.3,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,9'103,20.9,, , 
Leeds West [355],67'453,57.5,"Reeves, R.J. Ms.",Lab,16'389,42.3,,-,13.9
, ,"Coleman, R. Ms.",LD,9'373,24.2,,+,6.8
, ,"Marjoram, J.W.",Con,7'641,19.7,,+,5.6
, ,"Beverley, J. Ms.",BNP,2'377,6.1,,+,2.8
, ,"Blackburn, D.",GRN,1'832,4.7,*,-,2.5
, ,"Miles, J.",UKIP,1'140,2.9,*,+,1.1
, , , ,-----,---,, , 
2005: Lab,, , ,7'016,18.1,, , 
Leicester East [356],72'986,65.8,"Vaz, K.*",Lab,25'804,53.8,,-,5
, ,"Hunt, J.M. Ms.",Con,11'722,24.4,,+,4.6
, ,"Asghar, A.",LD,6'817,14.2,,-,2.3
, ,"Gilmore, C.R.",BNP,1'700,3.5,*,, 
, ,"Taylor, M. Ms.",GRN,733,1.5,*,, 
, ,"Ransome, F.E.E. Ms.",UKIP,725,1.5,*,, 
, ,"Sadiq, A.",UPS,494,1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,14'082,29.3,, , 
Leicester South [357],77'175,61.1,"Soulsby, P.A.*",Lab,21'479,45.6,,+,6.2
, ,"Gill, P.S.",LD,12'671,26.9,,-,3.7
, ,"Grant, R.I.",Con,10'066,21.4,,+,3.6
, ,"Waudby, A.",BNP,1'418,3,*,, 
, ,"Dixey, D.",GRN,770,1.6,*,-,1.6
, ,"Lucas, C.J.",UKIP,720,1.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,8'808,18.7,, , 
Leicester West [358],64'900,55.2,"Kendall, L. Ms.",Lab,13'745,38.4,,-,12.4
, ,"Harvey, C.J. Ms.",Con,9'728,27.2,,+,2.8
, ,"Coley, P.",LD,8'107,22.6,,+,4.4
, ,"Reynolds, G.",BNP,2'158,6,, , 
, ,"Ingall, S.M.",UKIP,883,2.5,*,, 
, ,"Forse, G.",GRN,639,1.8,*,-,3
, ,"Huggins, S.",Ind,181,0.5,*,, 
, ,"Score, S.",TUSC,157,0.4,*,, 
, ,"Dyer, S.",Pirate,113,0.3,*,, 
, ,"Bowley, D.J.",Ind,108,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,4'017,11.2,, , 
Leicestershire North West [359],71'217,72.9,"Bridgen, A.",Con,23'147,44.6,,+,8.6
, ,"Willmott, R.",Lab,15'636,30.1,,-,15.4
, ,"Reynolds, P.",LD,8'639,16.6,,+,4.6
, ,"Meller, I.",BNP,3'396,6.5,,+,3.4
, ,"Green, M.",UKIP,1'134,2.2,*,-,1.1
, , , ,-----,---,, , 
2005: Lab,, , ,7'511,14.5,, , 
Leicestershire South [360],76'633,71.2,"Robathan, A.R.G.*",Con,27'000,49.5,,+,4.1
, ,"Ayesh, A.S.S.",LD,11'476,21,,+,2
, ,"Gimson, S.L. Ms.",Lab,11'392,20.9,,-,8.8
, ,"Preston, P.M.",BNP,2'721,5,*,+,1.5
, ,"Williams, J.G.",UKIP,1'988,3.6,*,+,1.2
, , , ,-----,---,, , 
2005: Con,, , ,15'524,28.4,, , 
Leigh [361],75'903,58.4,"Burnham, A.M.*",Lab,21'295,48,,-,9.8
, ,"Awan, S. Ms.",Con,9'284,20.9,,+,4.5
, ,"Blackburn, C.G.A.",LD,8'049,18.2,,-,0.9
, ,"Chadwick, G.C.",BNP,2'724,6.1,, , 
, ,"Lavelle, M.T. Ms.",UKIP,1'535,3.5,*,, 
, ,"Bradbury, N.A.",Ind,988,2.2,*,, 
, ,"Dainty, T.",Ind,320,0.7,*,, 
, ,"Hessell, R.G.",Ch P,137,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,12'011,27.1,, , 
Lewes [362],68'708,72.9,"Baker, N.J.*",LD,26'048,52,,+,0.5
, ,"Sugarman, J.A.",Con,18'401,36.7,,+,2.1
, ,"Koundarjian, H.",Lab,2'508,5,,-,4.3
, ,"Charlton, P.A.",UKIP,1'728,3.4,*,+,1.2
, ,"Murray, S.J. Ms.",GRN,729,1.5,*,-,0.8
, ,"Lloyd, D.R.",BNP,594,1.2,*,, 
, ,"Soucek, O.",Ind,80,0.2,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,7'647,15.3,, , 
Lewisham Deptford [363],67'058,61.5,"Ruddock, J. Ms.*",Lab,22'132,53.7,,-,1.7
, ,"Langley, T.E. Ms.",LD,9'633,23.4,,+,5.4
, ,"Townsend, G.R. Ms.",Con,5'551,13.5,,+,0.8
, ,"Johnson, D.P.",GRN,2'772,6.7,,-,3.3
, ,"Page, I.G.",Soc Alt,645,1.6,*,, 
, ,"Martin, M.K.",CPA,487,1.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,12'499,30.3,, , 
Lewisham East [364],65'926,63.3,"Alexander, H. Ms.",Lab,17'966,43.1,,-,4.6
, ,"Pattisson, P.",LD,11'750,28.2,,+,8.3
, ,"Clamp, J.C.W.",Con,9'850,23.6,,-,0.7
, ,"Reed, R.A.",UKIP,771,1.8,*,-,0.4
, ,"Cotterell, P.M. Ms.",GRN,624,1.5,*,-,2.7
, ,"Rose, J.H.S.",ED,426,1,*,, 
, ,"Hallam, R.G.",CNPG,332,0.8,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,6'216,14.9,, , 
Lewisham West and Penge [365],69'022,65.2,"Dowd, J.P.*",Lab,18'501,41.1,,-,5.2
, ,"Feakes, A.D.",LD,12'673,28.1,,+,1
, ,"Phillips, C.W.S.",Con,11'489,25.5,,+,3.9
, ,"Staveley, P.",UKIP,1'117,2.5,*,-,0.1
, ,"Phoenix, R.A.G. Ms.",GRN,931,2.1,*,-,0.3
, ,"Hammond, S.C.",CPA,317,0.7,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,5'828,12.9,, , 
Leyton and Wanstead [366],63'541,63.2,"Cryer, J.R.",Lab,17'511,43.6,,-,2.2
, ,"Qureshi, F.",LD,11'095,27.6,,+,2.9
, ,"Northover, E.",Con,8'928,22.2,,-,0.5
, ,"Wood, G.R.",UKIP,1'080,2.7,*,+,0.9
, ,"Gunstock, A.",GRN,562,1.4,*,-,3
, ,"Clift, J.",BNP,561,1.4,*,, 
, ,"Bhatti, S.K. Ms.",Ch P,342,0.9,*,, 
, ,"Levin, M.",IFED,80,0.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,6'416,16,, , 
Lichfield [367],72'586,71,"Fabricant, M.L.D.*",Con,28'048,54.4,,+,5.7
, ,"Jackson, I.A.",LD,10'365,20.1,,+,4.2
, ,"Hyden, S.",Lab,10'230,19.8,,-,12.4
, ,"Maunder, K. Ms.",UKIP,2'920,5.7,,+,2.4
, , , ,-----,---,, , 
2005: Con,, , ,17'683,34.3,, , 
Lincoln [368],73'540,62.2,"McCartney, K.I.",Con,17'163,37.5,,+,3.3
, ,"Merron, G.J. Ms.*",Lab,16'105,35.2,,-,8.5
, ,"Shore, R.",LD,9'256,20.2,,+,1.9
, ,"West, R.M.B.",BNP,1'367,3,*,, 
, ,"Smith, N.",UKIP,1'004,2.2,*,-,1.5
, ,"Coleman, E.C.",ED,604,1.3,*,, 
, ,"Walker, G.R.",Ind,222,0.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'058,2.3,, , 
Linlithgow and Falkirk East [369],80'907,63.6,"Connarty, M.*",Lab,25'634,49.8,,+,2.1
, ,"Smith, T.",SNP,13'081,25.4,,+,1.9
, ,"Glenn, S.",LD,6'589,12.8,,-,2.5
, ,"Stephenson, A. Ms.",Con,6'146,11.9,,+,0.1
, , , ,-----,---,, , 
2005: Lab,, , ,12'553,24.4,, , 
Liverpool Riverside [370],74'539,52.1,"Ellman, L. Ms.*",Lab,22'998,59.3,,+,0
, ,"Marbrow, R.",LD,8'825,22.7,,-,0.6
, ,"Wu, K. Ms.",Con,4'243,10.9,,+,1.9
, ,"Crone, T.M.",GRN,1'355,3.5,*,-,1.7
, ,"Stafford, P.J.",BNP,706,1.8,*,, 
, ,"Gaskell, P. Ms.",UKIP,674,1.7,*,+,0.1
, , , ,-----,---,, , 
2005: Lab,, , ,14'173,36.5,, , 
Liverpool Walton [371],62'612,54.8,"Rotheram, S.",Lab,24'709,72,,+,0.2
, ,"Moloney, P.",LD,4'891,14.2,,-,2.7
, ,"Marsden, A.",Con,2'241,6.5,,+,0.1
, ,"Stafford, P.",BNP,1'104,3.2,*,, 
, ,"Nugent, J.",UKIP,898,2.6,*,-,0.7
, ,"Manwell, J.D.",CPA,297,0.9,*,, 
, ,"Ireland, D.A.",TUSC,195,0.6,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,19'818,57.7,, , 
Liverpool Wavertree [372],62'518,60.6,"Berger, L.C. Ms.",Lab,20'132,53.1,,+,3.6
, ,"Eldridge, C.W.",LD,12'965,34.2,,-,6.4
, ,"Garnett, A.D.",Con,2'830,7.5,,+,1
, ,"Miney, N.L.",UKIP,890,2.3,*,+,0.4
, ,"Lawson, R. Ms.",GRN,598,1.6,*,, 
, ,"Singleton, K. Ms.",Soc Lab,200,0.5,*,, 
, ,"McEllenborough, S.",BNP,150,0.4,*,, 
, ,"Dunne, F.",Ind,149,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,7'167,18.9,, , 
Liverpool West Derby [373],63'082,56.7,"Twigg, S.",Lab,22'953,64.1,,+,3.6
, ,"Twigger, P.",LD,4'486,12.5,,-,2.7
, ,"Radford, S.",Lib,3'327,9.3,, , 
, ,"Hall, P.T. Ms.",Con,3'311,9.3,,+,1
, ,"Jones, H.J. Ms.",UKIP,1'093,3.1,*,+,1.1
, ,"Andersen, K.",Soc Lab,614,1.7,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,18'467,51.6,, , 
Livingston [374],75'924,63.1,"Morrice, G.",Lab,23'215,48.5,,-,2.6
, ,"Bardell, L. Ms.",SNP,12'424,25.9,,+,4.4
, ,"Dundas, C.",LD,5'316,11.1,,-,4.3
, ,"Adamson-Ross, A. Ms.",Con,5'158,10.8,,+,0.6
, ,"Orr, D.",BNP,960,2,*,, 
, ,"Forrest, A.",UKIP,443,0.9,*,, 
, ,"Hendry, A.",SSP,242,0.5,*,-,1.3
, ,"Slavin, J.",Ind,149,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,10'791,22.5,, , 
Llanelli [375],55'637,67.3,"Griffith, N. Ms.*",Lab,15'916,42.5,,-,4.5
, ,"Davies, M. Ms.",PC,11'215,29.9,,+,3.5
, ,"Salmon, C.",Con,5'381,14.4,,+,0.7
, ,"Edwards, O.M.",LD,3'902,10.4,,-,2.5
, ,"Marshall, A.I.",UKIP,1'047,2.8,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,4'701,12.5,, , 
Londonderry East [376],63'220,55.3,"Campbell, G.*",DUP,12'097,34.6,,-,6.3
, ,"O hOisin, C.J.M.",SF,6'742,19.3,,+,1.9
, ,"Macaulay, L.A. Ms.",UCUNF,6'218,17.8,, , 
, ,"Conway, T.",SDLP,5'399,15.4,,-,3.9
, ,"Ross, W.",TUV,2'572,7.4,, , 
, ,"Fitzpatrick, B.",APNI,1'922,5.5,, , 
, , , ,-----,---,, , 
2005: DUP,, , ,5'355,15.3,, , 
Loughborough [377],77'505,68.2,"Morgan, N.A. Ms.",Con,21'971,41.6,,+,4.3
, ,"Reed, A.J.*",Lab,18'227,34.5,,-,6.7
, ,"Willis, M.J.",LD,9'675,18.3,,+,0.4
, ,"Stafford, K.",BNP,2'040,3.9,*,, 
, ,"Foden, J.B.",UKIP,925,1.8,*,-,0.6
, , , ,-----,---,, , 
2005: Lab,, , ,3'744,7.1,, , 
Louth and Horncastle [378],77'650,65,"Tapsell, P.H.B.*",Con,25'065,49.6,,+,3.2
, ,"Martin, F.M. Ms.",LD,11'194,22.2,,+,1.6
, ,"Mountain, P.W.",Lab,8'760,17.3,,-,8
, ,"Green, J.L. Ms.",BNP,2'199,4.4,*,, 
, ,"Nurse, P.M. Ms.",UKIP,2'183,4.3,*,-,3.4
, ,"Simpson, D.A.",LIND,576,1.1,*,, 
, ,"Mair, C.E.D.",ED,517,1,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,13'871,27.5,, , 
Ludlow [379],66'632,73.1,"Dunne, P.M.*",Con,25'720,52.8,,+,7.7
, ,"Kidd, H.M. Ms.",LD,15'971,32.8,,-,7.9
, ,"Hunt, A.J.",Lab,3'272,6.7,,-,4
, ,"Gill, C.J.F.",UKIP,2'127,4.4,*,+,2.7
, ,"Evans, C. Ms.",BNP,1'016,2.1,*,, 
, ,"Morrish, J.M. Ms.",GRN,447,0.9,*,-,0.9
, ,"Powell, A.J.",MRLP,179,0.4,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,9'749,20,, , 
Luton North [380],65'645,65.5,"Hopkins, K.*",Lab,21'192,49.3,,+,0.7
, ,"Brier, J.M.",Con,13'672,31.8,,-,0.4
, ,"Martins, R.",LD,4'784,11.1,,-,4.5
, ,"Brown, C.D.",UKIP,1'564,3.6,*,+,0.4
, ,"Rose, S. Ms.",BNP,1'316,3.1,*,, 
, ,"Hall, S.",GRN,490,1.1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,7'520,17.5,, , 
Luton South [381],65'219,64.7,"Shuker, G.",Lab,14'725,34.9,,-,7.9
, ,"Huddleston, N.P.",Con,12'396,29.4,,+,1.3
, ,"Hussain, Q.",LD,9'567,22.7,,+,0.1
, ,"Rantzen, E. Ms.",Ind,1'872,4.4,*,, 
, ,"Blakey, T.",BNP,1'299,3.1,*,, 
, ,"Lawman, C.S.",UKIP,975,2.3,*,-,0.1
, ,"Rhodes, S.",Ind,463,1.1,*,, 
, ,"Scheimann, M.",GRN,366,0.9,*,-,1.2
, ,"Hall, J.",Ind,264,0.6,*,, 
, ,"Choudhury, F.",Ind,130,0.3,*,, 
, ,"Lathwell, S.P.",Ind,84,0.2,*,, 
, ,"Sweeney, F.",WRP,75,0.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,2'329,5.5,, , 
Macclesfield [382],75'370,66.4,"Rutley, D.H.",Con,23'503,47,,-,2.7
, ,"Barlow, R.J.",LD,11'544,23.1,,+,3.5
, ,"Heald, A.",Lab,10'164,20.3,,-,8.7
, ,"Murphy, B.",MACI,2'590,5.2,, , 
, ,"Smith, J.M. Ms.",UKIP,1'418,2.8,*,, 
, ,"Knight, J.A.",GRN,840,1.7,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,11'959,23.9,, , 
Maidenhead [383],72'844,73.7,"May, T.M. Ms.*",Con,31'937,59.5,,+,7.6
, ,"Hill, A.C.",LD,15'168,28.2,,-,8
, ,"McDonald, P.S.",Lab,3'795,7.1,,-,2.1
, ,"Wight, K.J.",UKIP,1'243,2.3,*,+,0.9
, ,"Rait, T.S.",BNP,825,1.5,*,+,0.1
, ,"Forbes, P.M.",GRN,482,0.9,*,, 
, ,"Prior, P.H.",FFR,270,0.5,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,16'769,31.2,, , 
Maidstone and The Weald [384],71'041,68.9,"Grant, H. Ms.",Con,23'491,48,,-,3.8
, ,"Carroll, P.",LD,17'602,36,,+,13.2
, ,"Seeruthun, R.",Lab,4'769,9.7,,-,12.6
, ,"Kendall, G.A.",UKIP,1'637,3.3,*,+,0.3
, ,"Jeffery, S.R.",GRN,655,1.3,*,, 
, ,"Butler, G.",NF,643,1.3,*,, 
, ,"Simmonds, H.A. Ms.",Ch P,131,0.3,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,5'889,12,, , 
Makerfield [385],73'813,59.3,"Fovargue, Y.H. Ms.",Lab,20'700,47.3,,-,14.8
, ,"Ali, I. Ms.",Con,8'210,18.8,,+,5.2
, ,"Crowther, D.",LD,7'082,16.2,,+,4.8
, ,"Brierley, R.",Ind,3'424,7.8,, , 
, ,"Haslam, K.",BNP,3'229,7.4,,+,4.1
, ,"Mather, J.M.",Ind,1'126,2.6,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,12'490,28.5,, , 
Maldon [386],68'777,69.6,"Whittingdale, J.F.L.*",Con,28'661,59.8,,+,3.5
, ,"Tealby-Watson, E.D.S. Ms.",LD,9'254,19.3,,+,4.3
, ,"Nandanwar, S.D.",Lab,6'070,12.7,,-,11.5
, ,"Pryke, J.C.",UKIP,2'446,5.1,,+,0.6
, ,"Blain, L.K.",BNP,1'464,3.1,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,19'407,40.5,, , 
Manchester Central [387],90'110,44.3,"Lloyd, T.*",Lab,21'059,52.7,,-,6.6
, ,"Ramsbottom, M.S.",LD,10'620,26.6,,+,5.6
, ,"Rahuja, S.",Con,4'704,11.8,,+,1.3
, ,"Trebilcock, T.",BNP,1'636,4.1,*,, 
, ,"O'Donovan, G. Ms.",GRN,915,2.3,*,-,1.9
, ,"Weatherill, N. Ms.",UKIP,607,1.5,*,-,0.3
, ,"Sinclair, R.",Soc Lab,153,0.4,*,, 
, ,"Cartwright, J.",Ind,120,0.3,*,, 
, ,"Leff, J.",WRP,59,0.1,*,, 
, ,"Skelton, R.",SEP,54,0.1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,10'439,26.1,, , 
Manchester Gorton [388],75'933,50.5,"Kaufman, G.B.*",Lab,19'211,50.1,,-,3
, ,"Afzal, Q.",LD,12'508,32.6,,-,0.9
, ,"Healy, C.F. Ms.",Con,4'224,11,,+,1.2
, ,"Hall, J. Ms.",GRN,1'048,2.7,*,, 
, ,"Zulfikar, M.",Respect,507,1.3,*,, 
, ,"Reissmann, K.J. Ms.",TUSC,337,0.9,*,, 
, ,"Harrison, P.",Ch P,254,0.7,*,, 
, ,"Dobson, T.",Pirate,236,0.6,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,6'703,17.5,, , 
Manchester Withington [389],74'371,60.5,"Leech, J.*",LD,20'110,44.7,,+,2.4
, ,"Powell, L. Ms.",Lab,18'216,40.5,,-,0.4
, ,"Green, C.J.",Con,5'005,11.1,,+,0.8
, ,"Candeland, B.",GRN,798,1.8,*,-,2.5
, ,"Gutfreund-Walmsley, R.",UKIP,698,1.6,*,+,0.4
, ,"Zalzala, Y. Ms.",Ind,147,0.3,*,, 
, ,"Farmer, M.",Ind,57,0.1,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,1'894,4.2,, , 
Mansfield [390],80'069,60.4,"Meale, J.A.*",Lab,18'753,38.7,,-,11.4
, ,"Critchlow, T. Ms.",Con,12'741,26.3,,+,7.6
, ,"Wyatt, M.B.",LD,7'469,15.4,,+,1.4
, ,"Camilleri, A.P.",MIF,4'339,9,, , 
, ,"Hamilton, D.",UKIP,2'985,6.2,, , 
, ,"Hill, R.E. Ms.",BNP,2'108,4.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,6'012,12.4,, , 
Meon Valley [391],70'488,72.7,"Hollingbery, G.",Con,28'818,56.2,,+,10.4
, ,"Leffman, L. Ms.",LD,16'693,32.6,,-,8.4
, ,"Linsley, H.J.",Lab,3'266,6.4,,-,4.2
, ,"Harris, S.A.",UKIP,1'490,2.9,*,+,0.4
, ,"Harris, P.",ED,582,1.1,*,, 
, ,"Coats, S.N.A. Ms.",APP,255,0.5,*,, 
, ,"Quar, G.B.",Ind,134,0.3,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,12'125,23.7,, , 
Meriden [392],82'228,63.4,"Spelman, C.A. Ms.*",Con,26'956,51.7,,+,4
, ,"Williams, E.M.",Lab,10'703,20.5,,-,11.7
, ,"Slater, S.C.",LD,9'278,17.8,,+,1
, ,"O'Brien, S.F.",BNP,2'511,4.8,*,, 
, ,"Allcock, B.S.",UKIP,1'378,2.6,*,-,0.7
, ,"Stanton, E.C.R. Ms.",GRN,678,1.3,*,, 
, ,"Sinclaire, N. Ms.",SMRA,658,1.3,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,16'253,31.2,, , 
Merthyr Tydfil and Rhymney [393],54'715,58.6,"Havard, D.*",Lab,14'007,43.7,,-,16.8
