UK General Election Results 2001,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%,Electorate,Majority,Turnout,Status,Declaration
,,Rob Whitley,Green,1875,6.02%,,,,,
,,Candy Udwin,Socialist Alliance,971,3.12%,,,,,
,,Joti Brar,Socialist Labour,359,1.15%,,,,,
,,Magnus Nielsen,United Kingdom Independence,301,0.97%,,,,,
,,,,,,,,,,
Hornchurch,,John Cryer,Labour,16514,46.44%,61008,1482,58.28%,Labour Hold,08/06/01 02:28
,,Robin Squire,Conservative,15032,42.28%,,,,,
,,Sarah Lea,Liberal Democrat,2928,8.23%,,,,,
,,Lawrence Webb,United Kingdom Independence,893,2.51%,,,,,
,,David Durant,Third Way,190,0.53%,,,,,
,,,,,,,,,,
Hornsey and Wood Green,,Barbara Roche,Labour,21967,49.85%,75967,10614,58.00%,Labour Hold,08/06/01 02:03
,,Lynne Featherstone,Liberal Democrat,11353,25.77%,,,,,
,,Jason Hollands,Conservative,6921,15.71%,,,,,
,,Jayne Forbes,Green,2228,5.06%,,,,,
,,Louise Christian,Socialist Alliance,1106,2.51%,,,,,
,,Ella Rule,Socialist Labour,294,0.67%,,,,,
,,Erdil Ataman,Reform 2000,194,0.44%,,,,,
,,,,,,,,,,
Horsham,,Francis Maude,Conservative,26134,51.48%,79604,13666,63.78%,Conservative Hold,08/06/01 03:45
,,Hubert Carr,Liberal Democrat,12468,24.56%,,,,,
,,Janet Sully,Labour,10267,20.22%,,,,,
,,Hugo Miller,United Kingdom Independence,1472,2.90%,,,,,
,,Jim Duggan,Independent,429,0.84%,,,,,
,,,,,,,,,,
Houghton and Washington East,,Fraser Kemp,Labour,24628,73.21%,67946,19818,49.51%,Labour Hold,07/06/01 23:38
,,Tony Devenish,Conservative,4810,14.30%,,,,,
,,Richard Ormerod,Liberal Democrat,4203,12.49%,,,,,
,,,,,,,,,,
Hove,,Ivor Caplin,Labour,19253,45.85%,70889,3171,59.23%,Labour Hold,08/06/01 03:18
,,Jenny Langston,Conservative,16082,38.30%,,,,,
,,Harold d'Souza,Liberal Democrat,3823,9.10%,,,,,
,,Anthea Ballam,Green,1369,3.26%,,,,,
,,Andy Richards,Socialist Alliance,531,1.26%,,,,,
,,Richard Franklin,United Kingdom Independence,358,0.85%,,,,,
,,Nigel Donovan,Liberal,316,0.75%,,,,,
,,Simon Dobbshead,Free,196,0.47%,,,,,
,,Thomas Major,Independent,60,0.14%,,,,,
,,,,,,,,,,
Huddersfield,,Barry Sheerman,Labour/Co-operative,18840,53.25%,64349,10046,54.99%,Labour/Co-operative Hold,08/06/01 02:07
,,Paul Baverstock,Conservative,8794,24.85%,,,,,
,,Neil Bentley,Liberal Democrat,5300,14.98%,,,,,
,,John Phillips,Green,1254,3.54%,,,,,
,,Judith Longman,United Kingdom Independence,613,1.73%,,,,,
,,Graham Hellawell,Socialist Alliance,374,1.06%,,,,,
,,George Randall,Socialist Labour,208,0.59%,,,,,
,,,,,,,,,,
Hull East,,John Prescott,Labour,19938,64.58%,66473,15325,46.45%,Labour Hold,08/06/01 00:17
,,Jo Swinson,Liberal Democrat,4613,14.94%,,,,,
,,Sandip Verma,Conservative,4276,13.85%,,,,,
,,Jeanette Jenkinson,United Kingdom Independence,1218,3.94%,,,,,
,,Linda Muir,Socialist Labour,830,2.69%,,,,,
,,,,,,,,,,
Hull North,,Kevin McNamara,Labour,16364,57.15%,63022,10721,45.43%,Labour Hold,08/06/01 00:47
,,Simone Butterworth,Liberal Democrat,5643,19.71%,,,,,
,,Paul Charlson,Conservative,4902,17.12%,,,,,
,,Tineka Robinson,United Kingdom Independence,655,2.29%,,,,,
,,Roger Smith,Socialist Alliance,490,1.71%,,,,,
,,Carl Wagner,Legalise Cannabis Alliance,478,1.67%,,,,,
,,Christopher Veasey,Independent,101,0.35%,,,,,
,,,,,,,,,,
Hull West and Hessle,,Alan Johnson,Labour,16880,58.38%,63077,10951,45.84%,Labour Hold,08/06/01 00:34
,,John Sharp,Conservative,5929,20.50%,,,,,
,,Angela Wastling,Liberal Democrat,4364,15.09%,,,,,
,,John Cornforth,United Kingdom Independence,878,3.04%,,,,,
,,David Harris,Independent,512,1.77%,,,,,
,,David Skinner,Socialist Labour,353,1.22%,,,,,
,,,,,,,,,,
Huntingdon,,Jonathan Djanogly,Conservative,24507,49.92%,78604,12792,62.45%,Conservative Hold,08/06/01 02:55
,,Michael Pope,Liberal Democrat,11715,23.86%,,,,,
,,Takki Sulaiman,Labour,11211,22.84%,,,,,
,,Derek Norman,United Kingdom Independence,1656,3.37%,,,,,
,,,,,,,,,,
Hyndburn,,Greg Pope,Labour,20900,54.65%,66445,8219,57.56%,Labour Hold,08/06/01 01:14
,,Peter Britcliffe,Conservative,12681,33.16%,,,,,
,,Bill Greene,Liberal Democrat,3680,9.62%,,,,,
,,John Tomlin,United Kingdom Independence,982,2.57%,,,,,
,,,,,,,,,,
Ilford North,,Linda Perham,Labour,18428,45.80%,68893,2115,58.40%,Labour Hold,08/06/01 01:48
,,Vivian Bendall,Conservative,16313,40.55%,,,,,
,,Gavin Stollar,Liberal Democrat,4717,11.72%,,,,,
,,Martin Levin,United Kingdom Independence,776,1.93%,,,,,
,,,,,,,,,,
Ilford South,,Mike Gapes,Labour/Co-operative,24619,59.62%,76025,13997,54.32%,Labour/Co-operative Hold,08/06/01 01:50
,,Suresh Kuma,Conservative,10622,25.72%,,,,,
,,Ralph Scott,Liberal Democrat,4647,11.25%,,,,,
,,Harun Khan,United Kingdom Independence,1407,3.41%,,,,,
,,,,,,,,,,
"Inverness East Nairn and Lochaber",,David Stewart,Labour,15605,36.75%,67139,4716,63.24%,Labour Hold,08/06/01 03:00
,,Angus MacNeil,Scottish National,10889,25.64%,,,,,
,,Patsy Kenton,Liberal Democrat,9420,22.19%,,,,,
,,Richard Jenkins,Conservative,5653,13.31%,,,,,
,,Steve Arnott,Scottish Socialist,894,2.11%,,,,,
,,,,,,,,,,
Ipswich,,Jamie Cann,Labour,19952,51.33%,68198,8081,57.00%,Labour Hold,08/06/01 03:47
,,Edward Wild,Conservative,11871,30.54%,,,,,
,,Terry Gilbert,Liberal Democrat,5904,15.19%,,,,,
,,William Vinyard,United Kingdom Independence,624,1.61%,,,,,
,,Peter Leach,Socialist Alliance,305,0.78%,,,,,
,,Shaun Gratton,Socialist Labour,217,0.56%,,,,,
,,,,,,,,,,
Isle of Wight,,Andrew Turner,Conservative,25223,39.73%,106305,2826,59.72%,Conservative Gain,08/06/01 14:23
,,Peter Brand,Liberal Democrat,22397,35.28%,,,,,
,,Deborah Gardiner,Labour,9676,15.24%,,,,,
,,David Lott,United Kingdom Independence,2106,3.32%,,,,,
,,David Holmes,Independent,1423,2.24%,,,,,
,,Paul Scivier,Green,1279,2.01%,,,,,
,,Philip Murray,Isle of Wight,1164,1.83%,,,,,
,,James Spensley,Socialist Labour,214,0.34%,,,,,
,,,,,,,,,,
Islington North,,Jeremy Corbyn,Labour,18699,61.88%,61970,12958,48.76%,Labour Hold,08/06/01 03:50
,,Laura Willoughby,Liberal Democrat,5741,19.00%,,,,,
,,Neil Rands,Conservative,3249,10.75%,,,,,
,,Chris M Ashby,Green,1876,6.21%,,,,,
,,Steve Cook,Socialist Labour,512,1.69%,,,,,
,,Emine Hassan,Reform 2000,139,0.46%,,,,,
,,,,,,,,,,
Islington South and Finsbury,,Chris Smith,Labour,15217,53.95%,59515,7280,47.39%,Labour Hold,08/06/01 03:41
,,Keith Sharp,Liberal Democrat,7937,28.14%,,,,,
,,Nicky Morgan,Conservative,3860,13.69%,,,,,
,,Janine Booth,Socialist Alliance,817,2.90%,,,,,
,,Thomas McCarthy,Independent,267,0.95%,,,,,
,,Charles Thomson,Stuckist,108,0.38%,,,,,
,,,,,,,,,,
Islwyn,,Don Touhig,Labour/Co-operative,19505,61.55%,51230,15309,61.86%,Labour/Co-operative Hold,08/06/01 01:11
,,Kevin Etheridge,Liberal Democrat,4196,13.24%,,,,,
,,Leigh Thomas,Plaid Cymru,3767,11.89%,,,,,
,,Philip Howells,Conservative,2543,8.02%,,,,,
,,Paul Taylor,Independent,1263,3.99%,,,,,
,,Mary Millington,Socialist Labour,417,1.32%,,,,,
,,,,,,,,,,
Jarrow,,Stephen Hepburn,Labour,22777,66.06%,63172,17595,54.58%,Labour Hold,08/06/01 00:50
,,James Selby,Liberal Democrat,5182,15.03%,,,,,
,,Donald Wood,Conservative,5056,14.66%,,,,,
,,Alan Badger,United Kingdom Independence,716,2.08%,,,,,
,,Alan Blond,Independent,391,1.13%,,,,,
,,John Bissett,Socialist,357,1.04%,,,,,
,,,,,,,,,,
Keighley,,Ann Cryer,Labour,20888,48.20%,68349,4005,63.40%,Labour Hold,08/06/01 01:09
,,Simon Cooke,Conservative,16883,38.96%,,,,,
,,Mike Doyle,Liberal Democrat,4722,10.90%,,,,,
,,Michael Cassidy,United Kingdom Independence,840,1.94%,,,,,
,,,,,,,,,,
Kensington and Chelsea,,Michael Portillo,Conservative,15270,54.46%,62007,8771,45.22%,Conservative Hold,08/06/01 01:57
,,Simon Stanley,Labour,6499,23.18%,,,,,
,,Kishwer Falkner,Liberal Democrat,4416,15.75%,,,,,
,,Julia Stephenson,Green,1158,4.13%,,,,,
,,Nicholas Hockney,United Kingdom Independence,416,1.48%,,,,,
,,Josephine Quintavalle,ProLife Alliance,179,0.64%,,,,,
,,Ginger Crab,Jam Wrestling,100,0.36%,,,,,
,,,,,,,,,,
Kettering,,Philip Sawford,Labour,24034,44.71%,79697,665,67.45%,Labour Hold,08/06/01 06:20
,,Philip Hollobone,Conservative,23369,43.48%,,,,,
,,Roger Aron,Liberal Democrat,5469,10.17%,,,,,
,,Barry Mahoney,United Kingdom Independence,880,1.64%,,,,,
,,,,,,,,,,
Kilmarnock and Loudoun,,Desmond Browne,Labour,19926,52.90%,61049,10334,61.70%,Labour Hold,08/06/01 01:24
,,John Brady,Scottish National,9592,25.47%,,,,,
,,Donald Reece,Conservative,3943,10.47%,,,,,
,,John Stewart,Liberal Democrat,3177,8.43%,,,,,
,,Jason Muir,Scottish Socialist,1027,2.73%,,,,,
,,,,,,,,,,
Kingston and Surbiton,,Edward Davey,Liberal Democrat,29542,60.18%,72687,15676,67.54%,Liberal Democrat Hold,08/06/01 01:38
,,David Shaw,Conservative,13866,28.24%,,,,,
,,Phil Woodford,Labour,4302,8.76%,,,,,
,,Chris Spruce,Green,572,1.17%,,,,,
,,Amy Burns,United Kingdom Independence,438,0.89%,,,,,
,,John Hayball,Socialist Labour,319,0.65%,,,,,
,,Jeremy Middleton,Unrepresented People's,54,0.11%,,,,,
,,,,,,,,,,
Kingswood,,Roger Berry,Labour,28903,54.87%,80531,13962,65.41%,Labour Hold,08/06/01 02:09
,,Robert Marven,Conservative,14941,28.36%,,,,,
,,Christopher Greenfield,Liberal Democrat,7747,14.71%,,,,,
,,David Smith,United Kingdom Independence,1085,2.06%,,,,,
,,,,,,,,,,
Kirkcaldy,,Lewis Moonie,Labour/Co-operative,15227,54.08%,51559,8963,54.61%,Labour/Co-operative Hold,08/06/01 00:21
,,Shirley-Anne Somerville,Scottish National,6264,22.25%,,,,,
,,Scott Campbell,Conservative,3013,10.70%,,,,,
,,Andrew Weston,Liberal Democrat,2849,10.12%,,,,,
,,Dougie Kinnear,Scottish Socialist,804,2.86%,,,,,
,,,,,,,,,,
Knowsley North and Sefton East,,George Howarth,Labour,25035,66.73%,70781,18927,53.00%,Labour Hold,08/06/01 01:43
,,Keith Chapman,Conservative,6108,16.28%,,,,,
,,Richard Roberts,Liberal Democrat,5173,13.79%,,,,,
,,Ron Waugh,Socialist Labour,574,1.53%,,,,,
,,Thomas Rossiter,Independent,356,0.95%,,,,,
,,David Jones,Independent,271,0.72%,,,,,
,,,,,,,,,,
Knowsley South,,Eddie O'Hara,Labour,26071,71.25%,70681,21316,51.77%,Labour Hold,08/06/01 01:31
,,David Smithson,Liberal Democrat,4755,13.00%,,,,,
,,Paul Jemetta,Conservative,4250,11.62%,,,,,
,,Alan Fogg,Socialist Labour,1068,2.92%,,,,,
,,Mona McNee,Independent,446,1.22%,,,,,
,,,,,,,,,,
Lagan Valley,,Jeffrey Donaldson,Ulster Unionist,25966,56.52%,72671,18342,63.22%,Ulster Unionist Hold,08/06/01 18:08
,,Seamus A Close,Alliance,7624,16.60%,,,,,
,,Edwin Poots,Democratic Unionist,6164,13.42%,,,,,
,,Patricia Lewsley,Social Democratic and Labour,3462,7.54%,,,,,
,,Paul Butler,Sinn Féin,2725,5.93%,,,,,
,,,,,,,,,,
Lancashire West,,Colin Pickthall,Labour,23404,54.46%,72858,9643,58.98%,Labour Hold,08/06/01 04:15
,,Jeremy Myers,Conservative,13761,32.02%,,,,,
,,John Thornton,Liberal Democrat,4966,11.56%,,,,,
,,David Hill,Independent,523,1.22%,,,,,
,,David Braid,Independent,317,0.74%,,,,,
,,,,,,,,,,
Lancaster and Wyre,,Hilton Dawson,Labour,22556,43.09%,78964,481,66.30%,Labour Hold,08/06/01 04:57
,,Steve Barclay,Conservative,22075,42.17%,,,,,
,,Liz Scott,Liberal Democrat,5383,10.28%,,,,,
,,John Whitelegg,Green,1595,3.05%,,,,,
,,John Whittaker,United Kingdom Independence,741,1.42%,,,,,
,,,,,,,,,,
Leeds Central,,Hilary Benn,Labour,18277,66.93%,65497,14381,41.69%,Labour Hold,08/06/01 00:33
,,Victoria Richmond,Conservative,3896,14.27%,,,,,
,,Stewart Arnold,Liberal Democrat,3607,13.21%,,,,,
,,David Burgess,United Kingdom Independence,775,2.84%,,,,,
,,Steve Johnson,Socialist Alliance,751,2.75%,,,,,
,,,,,,,,,,
Leeds East,,George Mudie,Labour,18290,62.95%,56400,12643,51.52%,Labour Hold,08/06/01 01:01
,,Barry Anderson,Conservative,5647,19.44%,,,,,
,,Brian Jennings,Liberal Democrat,3923,13.50%,,,,,
,,Raymond Northgreaves,United Kingdom Independence,634,2.18%,,,,,
,,Mark King,Socialist Labour,419,1.44%,,,,,
,,Peter Socrates,Independent,142,0.49%,,,,,
,,,,,,,,,,
Leeds North East,,Fabian Hamilton,Labour,19540,49.13%,64123,7089,62.03%,Labour Hold,08/06/01 02:17
,,Owain Rhys,Conservative,12451,31.31%,,,,,
,,Jonathan Brown,Liberal Democrat,6325,15.90%,,,,,
,,Celia Foote,Left Alliance,770,1.94%,,,,,
,,Jeffrey Miles,United Kingdom Independence,382,0.96%,,,,,
,,Colin Muir,Socialist Labour,173,0.43%,,,,,
,,Mohammed Zaman,Independent,132,0.33%,,,,,
,,,,,,,,,,
Leeds North West,,Harold Best,Labour,17794,41.92%,72945,5236,58.20%,Labour Hold,08/06/01 01:40
,,Adam Pritchard,Conservative,12558,29.58%,,,,,
,,David Hall-Matthews,Liberal Democrat,11431,26.93%,,,,,
,,Simon Jones,United Kingdom Independence,668,1.57%,,,,,
,,,,,,,,,,
Leeds West,,John Battle,Labour,19943,62.14%,64218,14935,49.98%,Labour Hold,08/06/01 01:14
,,Kris Hopkins,Conservative,5008,15.60%,,,,,
,,Darren Finlay,Liberal Democrat,3350,10.44%,,,,,
,,David Blackburn,Green,2573,8.02%,,,,,
,,William Finley,United Kingdom Independence,758,2.36%,,,,,
,,Noel Nowosielski,Liberal,462,1.44%,,,,,
,,,,,,,,,,
Leicester East,,Keith Vaz,Labour,23402,57.55%,65527,13442,62.05%,Labour Hold,08/06/01 02:44
,,John Mugglestone,Conservative,9960,24.50%,,,,,
,,Harpinder Athwal,Liberal Democrat,4989,12.27%,,,,,
,,Dave Roberts,Socialist Labour,837,2.06%,,,,,
,,Clive Potter,British National,772,1.90%,,,,,
,,Shirley Bennett,Independent,701,1.72%,,,,,
,,,,,,,,,,
Leicester South,,Jim Marshall,Labour,22958,54.48%,72671,13243,57.99%,Labour Hold,08/06/01 02:26
,,Richard Hoile,Conservative,9715,23.05%,,,,,
,,Parmjit Sing Gill,Liberal Democrat,7243,17.19%,,,,,
,,Margaret Layton,Green,1217,2.89%,,,,,
,,Arnold Gardner,Socialist Labour,676,1.60%,,,,,
,,Kirti Ladwa,United Kingdom Independence,333,0.79%,,,,,
,,,,,,,,,,
Leicester West,,Patricia Hewitt,Labour,18014,54.23%,65267,9639,50.90%,Labour Hold,08/06/01 01:31
,,Chris Shaw,Conservative,8375,25.21%,,,,,
,,Andrew Vincent,Liberal Democrat,5085,15.31%,,,,,
,,Matthew Gough,Green,1074,3.23%,,,,,
,,Sean Kirkpatrick,Socialist Labour,350,1.05%,,,,,
,,Steve Score,Socialist Alliance,321,0.97%,,,,,
,,,,,,,,,,
Leicestershire North West,,David Taylor,Labour/Co-operative,23431,52.06%,68414,8157,65.79%,Labour/Co-operative Hold,08/06/01 03:22
,,Nick Weston,Conservative,15274,33.94%,,,,,
,,Charlie Fraser-Fleming,Liberal Democrat,4651,10.33%,,,,,
,,William Nattrass,United Kingdom Independence,1021,2.27%,,,,,
,,Robert Nettleton,Independent,632,1.40%,,,,,
,,,,,,,,,,
Leigh,,Andrew Burnham,Labour,22783,64.54%,71054,16362,49.68%,Labour Hold,08/06/01 00:33
,,Andrew Oxley,Conservative,6421,18.19%,,,,,
,,Ray Atkins,Liberal Democrat,4524,12.82%,,,,,
,,William Kelly,Socialist Labour,820,2.32%,,,,,
,,Chris Best,United Kingdom Independence,750,2.12%,,,,,
,,,,,,,,,,
Leominster,,Bill Wiggin,Conservative,22879,48.96%,68695,10367,68.02%,Conservative Hold,08/06/01 03:44
,,Celia Downie,Liberal Democrat,12512,26.78%,,,,,
,,Stephen Hart,Labour,7872,16.85%,,,,,
,,Pippa Bennett,Green,1690,3.62%,,,,,
,,Christopher Kingsley,United Kingdom Independence,1590,3.40%,,,,,
,,John Haycock,Independent,186,0.40%,,,,,
,,,,,,,,,,
Lewes,,Norman J Baker,Liberal Democrat,25588,56.32%,66332,9710,68.49%,Liberal Democrat Hold,08/06/01 04:59
,,Simon Sinnatt,Conservative,15878,34.95%,,,,,
,,Paul Richards,Labour,3317,7.30%,,,,,
,,John Harvey,United Kingdom Independence,650,1.43%,,,,,
,,,,,,,,,,
Lewisham Deptford,,Joan Ruddock,Labour,18915,64.98%,62869,15293,46.30%,Labour Hold,08/06/01 02:33
,,Cordelia McCartney,Conservative,3622,12.44%,,,,,
,,Andrew Wiseman,Liberal Democrat,3409,11.71%,,,,,
,,Darren Johnson,Green,1901,6.53%,,,,,
,,Ian Page,Socialist Alliance,1260,4.33%,,,,,
,,,,,,,,,,
Lewisham East,,Bridget Prentice,Labour,16116,53.65%,58302,8959,51.52%,Labour Hold,08/06/01 02:49
,,David McInnes,Conservative,7157,23.82%,,,,,
,,David Buxton,Liberal Democrat,4937,16.43%,,,,,
,,Barry Roberts,British National,1005,3.35%,,,,,
,,Jean Kysow,Socialist Alliance,464,1.54%,,,,,
,,Maurice Link,United Kingdom Independence,361,1.20%,,,,,
,,,,,,,,,,
Lewisham West,,Jim Dowd,Labour,18816,61.06%,60947,11920,50.56%,Labour Hold,08/06/01 02:51
,,Gary Johnson,Conservative,6896,22.38%,,,,,
,,Richard Thomas,Liberal Democrat,4146,13.45%,,,,,
,,Frederick Pearson,United Kingdom Independence,485,1.57%,,,,,
,,Nick Long,Independent,472,1.53%,,,,,
,,,,,,,,,,
Leyton and Wanstead,,Harry M Cohen,Labour,19558,58.00%,61549,12904,54.78%,Labour Hold,08/06/01 01:45
,,Edward Heckels,Conservative,6654,19.73%,,,,,
,,Alex Wilcock,Liberal Democrat,5389,15.98%,,,,,
,,Ashley Gunstock,Green,1030,3.05%,,,,,
,,Sally Labern,Socialist Alliance,709,2.10%,,,,,
,,Michael Skaif DIngerthorp,United Kingdom Independence,378,1.12%,,,,,
,,,,,,,,,,
Lichfield,,Michael Fabricant,Conservative,20480,49.14%,63794,4426,65.34%,Conservative Hold,08/06/01 04:16
,,Martin Machray,Labour,16054,38.52%,,,,,
,,Phillip Bennion,Liberal Democrat,4462,10.71%,,,,,
,,John Phazey,United Kingdom Independence,684,1.64%,,,,,
,,,,,,,,,,
Lincoln,,Gillian Merron,Labour,20003,53.88%,66299,8420,56.00%,Labour Hold,08/06/01 01:40
,,Christine Talbot,Conservative,11583,31.20%,,,,,
,,Lisa Gabriel,Liberal Democrat,4703,12.67%,,,,,
,,Roger Doughty,United Kingdom Independence,836,2.25%,,,,,
,,,,,,,,,,
Linlithgow,,Tam Dalyell,Labour,17207,54.36%,54599,9129,57.98%,Labour Hold,08/06/01 01:10
,,Jim Sibbald,Scottish National,8078,25.52%,,,,,
,,Gordon Lindhurst,Conservative,2836,8.96%,,,,,
,,Martin Oliver,Liberal Democrat,2628,8.30%,,,,,
,,Eddie Cornoch,Scottish Socialist,695,2.20%,,,,,
,,Helen Cronin,Rock 'n' Roll Loony,211,0.67%,,,,,
,,,,,,,,,,
Liverpool Garston,,Maria Eagle,Labour,20043,61.39%,65094,12494,50.16%,Labour Hold,08/06/01 00:49
,,Paula Keaveney,Liberal Democrat,7549,23.12%,,,,,
,,Helen Sutton,Conservative,5059,15.49%,,,,,
,,,,,,,,,,
Liverpool Riverside,,Louise Ellman,Labour/Co-operative,18201,71.37%,74827,13950,34.08%,Labour/Co-operative Hold,08/06/01 00:36
,,Richard Marbrow,Liberal Democrat,4251,16.67%,,,,,
,,Judith Edwards,Conservative,2142,8.40%,,,,,
,,Cathy Wilson,Socialist Alliance,909,3.56%,,,,,
,,,,,,,,,,
Liverpool Walton,,Peter Kilfoyle,Labour,22143,77.81%,66237,17996,42.96%,Labour Hold,08/06/01 00:56
,,Kiron Reid,Liberal Democrat,4147,14.57%,,,,,
,,Stephen Horgan,Conservative,1726,6.07%,,,,,
,,Paul Forrest,United Kingdom Independence,442,1.55%,,,,,
,,,,,,,,,,
Liverpool West Derby,,Robert Wareing,Labour,20454,66.18%,67921,15853,45.50%,Labour Hold,08/06/01 01:01
,,Steve Radford,Liberal,4601,14.89%,,,,,
,,Patrick Moloney,Liberal Democrat,3366,10.89%,,,,,
,,Bill Clare,Conservative,2486,8.04%,,,,,
,,,,,,,,,,
Livingston,,Robin Cook,Labour,19108,53.03%,64850,10616,55.56%,Labour Hold,08/06/01 00:37
,,Graham Sutherland,Scottish National,8492,23.57%,,,,,
,,Gordon Mackenzie,Liberal Democrat,3969,11.01%,,,,,
,,Ian Mowat,Conservative,2995,8.31%,,,,,
,,Wendy Milne,Scottish Socialist,1110,3.08%,,,,,
,,Robert Kingdon,United Kingdom Independence,359,1.00%,,,,,
,,,,,,,,,,
Llanelli,,Denzil Davies,Labour,17586,48.58%,58148,6403,62.25%,Labour Hold,08/06/01 03:19
,,Dyfan Jones,Plaid Cymru,11183,30.89%,,,,,
,,Simon Hayes,Conservative,3442,9.51%,,,,,
,,Ken Rees,Liberal Democrat,3065,8.47%,,,,,
,,Jan Cliff,Green,515,1.42%,,,,,
,,John Willock,Socialist Labour,407,1.12%,,,,,
,,,,,,,,,,
Londonderry East,,Gregory Campbell,Democratic Unionist,12813,32.14%,60276,1901,66.14%,Democratic Unionist Gain,08/06/01 17:28
,,William Ross,Ulster Unionist,10912,27.37%,,,,,
,,John Dallat,Social Democratic and Labour,8298,20.81%,,,,,
,,Francie Brolly,Sinn Féin,6221,15.60%,,,,,
,,Yvonne Boyle,Alliance,1625,4.08%,,,,,
,,,,,,,,,,
Loughborough,,Andy Reed,Labour/Co-operative,22016,49.75%,70077,6378,63.15%,Labour/Co-operative Hold,08/06/01 03:27
,,Neil Lyon,Conservative,15638,35.34%,,,,,
,,Julie Simons,Liberal Democrat,5667,12.81%,,,,,
,,John Bigger,United Kingdom Independence,933,2.11%,,,,,
,,,,,,,,,,
Louth and Horncastle,,Peter Tapsell,Conservative,21543,48.45%,71556,7554,62.13%,Conservative Hold,08/06/01 03:34
,,David Bolland,Labour,13989,31.46%,,,,,
,,Fiona Martin,Liberal Democrat,8928,20.08%,,,,,
,,,,,,,,,,
Ludlow,,Matthew Green,Liberal Democrat,18620,43.18%,63053,1630,68.39%,Liberal Democrat Gain,08/06/01 06:30
,,Martin Taylor-Smith,Conservative,16990,39.40%,,,,,
,,Nigel Knowles,Labour,5785,13.41%,,,,,
,,Jim Gaffney,Green,871,2.02%,,,,,
,,Phil Gutteridge,United Kingdom Independence,858,1.99%,,,,,
,,,,,,,,,,
Luton North,,Kelvin Hopkins,Labour,22187,56.71%,65998,9977,59.28%,Labour Hold,08/06/01 02:16
,,Amanda Sater,Conservative,12210,31.21%,,,,,
,,Bob Hoyle,Liberal Democrat,3795,9.70%,,,,,
,,Colin Brown,United Kingdom Independence,934,2.39%,,,,,
,,,,,,,,,,
Luton South,,Margaret Moran,Labour,21719,55.19%,68985,10133,57.04%,Labour Hold,08/06/01 03:22
,,Gordon Henderson,Conservative,11586,29.44%,,,,,
,,Rabi Martins,Liberal Democrat,4292,10.91%,,,,,
,,Marc Scheimann,Green,798,2.03%,,,,,
,,Charles Lawman,United Kingdom Independence,578,1.47%,,,,,
,,Joe Hearne,Socialist Alliance,271,0.69%,,,,,
,,Robert Bolton,Workers' Revolutionary,107,0.27%,,,,,
,,,,,,,,,,
Macclesfield,,Nicholas Winterton,Conservative,22284,48.88%,73123,7200,62.34%,Conservative Hold,08/06/01 02:14
,,Stephen Carter,Labour,15084,33.09%,,,,,
,,Mike Flynn,Liberal Democrat,8217,18.03%,,,,,
,,,,,,,,,,
Maidenhead,,Theresa May,Conservative,19506,45.03%,68130,3284,63.58%,Conservative Hold,08/06/01 02:52
,,Kathryn Newbound,Liberal Democrat,16222,37.45%,,,,,
,,John O'Farrell,Labour,6577,15.18%,,,,,
,,Denis Cooper,United Kingdom Independence,741,1.71%,,,,,
,,Lloyd Clarke,Monster Raving Loony,272,0.63%,,,,,
,,,,,,,,,,
Maidstone and The Weald,,Ann Widdecombe,Conservative,22621,49.63%,74002,10318,61.59%,Conservative Hold,08/06/01 03:01
,,Mark Davis,Labour,12303,26.99%,,,,,
,,Allison Wainman,Liberal Democrat,9064,19.89%,,,,,
,,John Botting,United Kingdom Independence,978,2.15%,,,,,
,,Neil Hunt,Independent,611,1.34%,,,,,
,,,,,,,,,,
Makerfield,,Ian McCartney,Labour,23879,68.51%,68457,17750,50.92%,Labour Hold,08/06/01 00:26
,,Jane Brooks,Conservative,6129,17.58%,,,,,
,,David Crowther,Liberal Democrat,3990,11.45%,,,,,
,,Malcolm Jones,Socialist Alliance,858,2.46%,,,,,
,,,,,,,,,,
Maldon and Chelmsford East,,John Whittingdale,Conservative,21719,49.25%,69201,8462,63.73%,Conservative Hold,08/06/01 03:10
,,Russell Kennedy,Labour,13257,30.06%,,,,,
,,Jane Jackson,Liberal Democrat,7002,15.88%,,,,,
,,Geoffrey Harris,United Kingdom Independence,1135,2.57%,,,,,
,,Walter Schwarz,Green,987,2.24%,,,,,
,,,,,,,,,,
Manchester Blackley,,Graham Stringer,Labour,18285,68.94%,59111,14464,44.87%,Labour Hold,08/06/01 01:08
,,Lance Stanbury,Conservative,3821,14.41%,,,,,
,,Gary Riding,Liberal Democrat,3015,11.37%,,,,,
,,Kevin Barr,Socialist Labour,485,1.83%,,,,,
,,Karen Reissmann,Socialist Alliance,461,1.74%,,,,,
,,Aziz Bhatti,Anti-Corruption Forum,456,1.72%,,,,,
,,,,,,,,,,
Manchester Central,,Tony Lloyd,Labour,17812,68.70%,66268,13742,39.13%,Labour Hold,08/06/01 01:32
,,Philip Hobson,Liberal Democrat,4070,15.70%,,,,,
,,Aaron Powell,Conservative,2328,8.98%,,,,,
,,Vanessa Hall,Green,1018,3.93%,,,,,
,,Ron Sinclair,Socialist Labour,484,1.87%,,,,,
,,Terrenia Brosnan,ProLife Alliance,216,0.83%,,,,,
,,,,,,,,,,
