UK General Election Results 2001,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%,Electorate,Majority,Turnout,Status,Declaration
Berwick upon Tweed,,Alan Beith,Liberal Democrat,18651,51.37%,56918,8458,63.79%,Liberal Democrat Hold,08/06/01 10:40
,,Glen Sanderson,Conservative,10193,28.07%,,,,,
,,Martin Walker,Labour,6435,17.72%,,,,,
,,John Pearson,United Kingdom Independence,1029,2.83%,,,,,
,,,,,,,,,,
Bethnal Green and Bow,,Oona King,Labour,19380,50.38%,79192,10057,48.58%,Labour Hold,08/06/01 02:43
,,Shahagir Faruk,Conservative,9323,24.23%,,,,,
,,Janet Ludlow,Liberal Democrat,5946,15.46%,,,,,
,,Anna Bragga,Green,1666,4.33%,,,,,
,,Michael Davidson,British National,1267,3.29%,,,,,
,,Dennis Delderfield,New Britain,888,2.31%,,,,,
,,,,,,,,,,
Beverley and Holderness,,James Cran,Conservative,19168,41.33%,75146,781,61.71%,Conservative Hold,08/06/01 03:16
,,Pippa Langford,Labour,18387,39.65%,,,,,
,,Stewart Willie,Liberal Democrat,7356,15.86%,,,,,
,,Stephen Wallis,United Kingdom Independence,1464,3.16%,,,,,
,,,,,,,,,,
Bexhill and Battle,,Greg Barker,Conservative,21555,48.13%,69010,10503,64.89%,Conservative Hold,08/06/01 03:08
,,Stephen Hardy,Liberal Democrat,11052,24.68%,,,,,
,,Anne Moore-Williams,Labour,8702,19.43%,,,,,
,,Nigel Farage,United Kingdom Independence,3474,7.76%,,,,,
,,,,,,,,,,
Bexleyheath and Crayford,,Nigel Beard,Labour,17593,43.57%,63580,1472,63.51%,Labour Hold,08/06/01 02:47
,,David Evennett,Conservative,16121,39.93%,,,,,
,,Nickolas O'Hare,Liberal Democrat,4476,11.09%,,,,,
,,Colin Smith,British National,1408,3.49%,,,,,
,,John Dunford,United Kingdom Independence,780,1.93%,,,,,
,,,,,,,,,,
Billericay,,John Baron,Conservative,21608,47.39%,78528,5013,58.07%,Conservative Hold,08/06/01 04:37
,,Amanda Campbell,Labour,16595,36.39%,,,,,
,,Frank Bellard,Liberal Democrat,6323,13.87%,,,,,
,,Nick Yeomans,United Kingdom Independence,1072,2.35%,,,,,
,,,,,,,,,,
Birkenhead,,Frank Field,Labour,20418,70.49%,60726,15591,47.70%,Labour Hold,08/06/01 00:46
,,Brian Stewart,Conservative,4827,16.66%,,,,,
,,Roy Wood,Liberal Democrat,3722,12.85%,,,,,
,,,,,,,,,,
Birmingham Edgbaston,,Gisela Stuart,Labour,18517,49.05%,67405,4698,56.00%,Labour Hold,08/06/01 00:11
,,Nigel Hastilow,Conservative,13819,36.61%,,,,,
,,Nicola Davies,Liberal Democrat,4528,12.00%,,,,,
,,John Gretton,Pro-Euro Conservative,454,1.20%,,,,,
,,Sam Brackenbury,Socialist Labour,431,1.14%,,,,,
,,,,,,,,,,
Birmingham Erdington,,Sion Llewelyn Simon,Labour,17375,56.77%,65668,9962,46.60%,Labour Hold,08/06/01 02:56
,,Oliver Lodge,Conservative,7413,24.22%,,,,,
,,Sandra Johnson,Liberal Democrat,3602,11.77%,,,,,
